Animal	Tag	Sex	Weight	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
310	900200000470221	Unknown	0	Default		2020-03-14 18:11:03.934	2020-03-15 15:31:53.750	4	126	1698.1	353	509.37	1886	288.5468746	137.475999996066	65.9	83	66.9	236	0.0	0	0.0	0
311	900200000277994	Unknown	0	Default		2020-03-14 15:49:18.902	2020-03-15 15:25:58.722	4	98	1037.012	176	323.093	1179	155.6845698	51.0429998543113	59.2	58	68.2	120	0.0	0	0.0	0
318	900200000472239	Unknown	0	Default		2020-03-14 15:38:20.913	2020-03-15 15:16:42.780	4	285	2170.728	298	434.701	2180	293.1103519	123.951999479905	74.0	211	54.7	163	0.0	0	0.0	0
351	900200000100961	Unknown	0	Default		2020-03-14 17:24:45.019	2020-03-15 15:08:11.658	1	149	1570.814	261	415.035	1593	275.2128904	141.708999763243	70.5	105	65.1	170	0.0	0	0.0	0
372	900200000102097	Unknown	0	Default		2020-03-14 15:36:47.699	2020-03-15 15:29:40.072	3	218	1874.7	353	488.868	1955	254.9082031	101.225000048056	71.1	155	57.8	204	0.0	0	0.0	0
376	900200000470237	Unknown	0	Default		2020-03-14 15:37:56.059	2020-03-15 15:29:41.963	1	242	1915.294	431	535.903	2273	287.1093742	107.610999347642	72.7	176	68.7	296	0.0	0	0.0	0
377	900200000473319	Unknown	0	Default		2020-03-14 15:37:33.059	2020-03-15 15:29:24.225	2	232	1865.7	386	540.747	2455	324.3320306	145.229000274092	67.7	157	58.0	224	0.0	0	0.0	0
391	900200000098708	Unknown	0	Default		2020-03-14 17:13:21.187	2020-03-15 15:33:28.122	3	228	2146.981	430	426.27	1697	226.3046876	89.8259999845177	74.6	170	57.9	249	0.0	0	0.0	0
392	900200000279265	Unknown	0	Default		2020-03-14 15:35:49.458	2020-03-15 15:31:07.987	1	125	1920.3	389	562.699	1176	223.3554692	136.313000926748	64.0	80	59.1	230	0.0	0	0.0	0
395	900200000470661	Unknown	0	Default		2020-03-14 15:37:51.074	2020-03-15 15:05:05.074	1	312	2328.248	353	544.933	2622	386.7596727	168.792001023889	67.6	211	66.3	234	0.0	0	0.0	0
