DateTime	Type	Cage	Corner	Side	State
2020-03-14 15:34:16.300	Air	2	1		0
2020-03-14 15:34:16.306	Air	1	1		0
2020-03-14 15:34:16.307	Air	2	2		0
2020-03-14 15:34:16.307	Air	1	2		0
2020-03-14 15:34:16.316	Air	2	3		0
2020-03-14 15:34:16.322	Air	1	3		0
2020-03-14 15:34:16.338	Air	2	4		0
2020-03-14 15:34:16.345	Air	1	4		0
2020-03-14 15:34:16.369	Door	1	1	1	0
2020-03-14 15:34:16.371	Door	2	1	1	0
2020-03-14 15:34:16.385	Led	2	1	1	0
2020-03-14 15:34:16.386	Led	1	1	1	0
2020-03-14 15:34:16.404	Door	2	1	2	0
2020-03-14 15:34:16.410	Door	1	1	2	0
2020-03-14 15:34:16.421	Led	2	1	2	0
2020-03-14 15:34:16.426	Led	1	1	2	0
2020-03-14 15:34:16.445	Door	2	2	3	0
2020-03-14 15:34:16.451	Door	1	2	3	0
2020-03-14 15:34:16.462	Led	2	2	3	0
2020-03-14 15:34:16.468	Led	1	2	3	0
2020-03-14 15:34:16.487	Door	2	2	4	0
2020-03-14 15:34:16.493	Door	1	2	4	0
2020-03-14 15:34:16.503	Led	2	2	4	0
2020-03-14 15:34:16.509	Led	1	2	4	0
2020-03-14 15:34:16.528	Door	2	3	5	0
2020-03-14 15:34:16.534	Door	1	3	5	0
2020-03-14 15:34:16.545	Led	2	3	5	0
2020-03-14 15:34:16.550	Led	1	3	5	0
2020-03-14 15:34:16.569	Door	1	3	6	0
2020-03-14 15:34:16.575	Door	2	3	6	0
2020-03-14 15:34:16.583	Led	1	3	6	0
2020-03-14 15:34:16.588	Led	2	3	6	0
2020-03-14 15:34:16.607	Door	2	4	7	0
2020-03-14 15:34:16.612	Door	1	4	7	0
2020-03-14 15:34:16.625	Led	2	4	7	0
2020-03-14 15:34:16.629	Led	1	4	7	0
2020-03-14 15:34:16.649	Door	2	4	8	0
2020-03-14 15:34:16.654	Door	1	4	8	0
2020-03-14 15:34:16.669	Led	1	4	8	0
2020-03-14 15:34:16.676	Led	2	4	8	0
2020-03-14 15:34:16.841	Door	2	2	3	0
2020-03-14 15:34:16.862	Door	2	2	4	0
