DateTime	Temperature	Illumination	Cage
2022-09-25 14:19:28	23	72	1
2022-09-25 14:19:28	24.2	164	2
2022-09-25 14:20:27	23	76	1
2022-09-25 14:20:27	24.2	168	2
2022-09-25 14:21:27	23	78	1
2022-09-25 14:21:27	24.2	168	2
2022-09-25 14:22:27	23	78	1
2022-09-25 14:22:27	24.2	172	2
2022-09-25 14:23:27	23	78	1
2022-09-25 14:23:27	24.2	170	2
2022-09-25 14:24:27	23	78	1
2022-09-25 14:24:27	24.2	168	2
2022-09-25 14:25:27	23	76	1
2022-09-25 14:25:27	24.2	170	2
2022-09-25 14:26:27	23	76	1
2022-09-25 14:26:27	24.2	172	2
2022-09-25 14:27:27	23	78	1
2022-09-25 14:27:27	24.2	172	2
2022-09-25 14:28:27	23	78	1
2022-09-25 14:28:27	24.2	168	2
2022-09-25 14:29:27	23.4	78	1
2022-09-25 14:29:27	24.2	168	2
2022-09-25 14:30:27	23	78	1
2022-09-25 14:30:27	24.2	170	2
2022-09-25 14:31:27	23	78	1
2022-09-25 14:31:27	24.2	170	2
2022-09-25 14:32:27	23	76	1
2022-09-25 14:32:27	24.2	168	2
2022-09-25 14:33:27	23	76	1
2022-09-25 14:33:27	24.2	170	2
2022-09-25 14:34:27	23.4	76	1
2022-09-25 14:34:28	24.2	170	2
2022-09-25 14:35:28	23	76	1
2022-09-25 14:35:28	24.2	172	2
2022-09-25 14:36:28	23	76	1
2022-09-25 14:36:28	24.2	170	2
2022-09-25 14:37:28	23	76	1
2022-09-25 14:37:28	24.2	172	2
2022-09-25 14:38:28	23	78	1
2022-09-25 14:38:28	24.2	170	2
2022-09-25 14:39:28	23.4	78	1
2022-09-25 14:39:28	24.2	170	2
2022-09-25 14:40:28	23	78	1
2022-09-25 14:40:28	24.2	172	2
2022-09-25 14:41:28	23	78	1
2022-09-25 14:41:28	24.2	172	2
2022-09-25 14:42:28	23.4	78	1
2022-09-25 14:42:28	24.2	168	2
2022-09-25 14:43:28	23	78	1
2022-09-25 14:43:28	24.2	172	2
2022-09-25 14:44:28	23	76	1
2022-09-25 14:44:28	24.2	168	2
2022-09-25 14:45:28	23	78	1
2022-09-25 14:45:28	24.2	172	2
2022-09-25 14:46:28	23	78	1
2022-09-25 14:46:28	24.2	168	2
2022-09-25 14:47:28	23	78	1
2022-09-25 14:47:28	24.2	172	2
2022-09-25 14:48:28	23	78	1
2022-09-25 14:48:28	24.2	168	2
2022-09-25 14:49:28	23	76	1
2022-09-25 14:49:28	24.2	172	2
2022-09-25 14:50:28	23	78	1
2022-09-25 14:50:28	24.2	168	2
2022-09-25 14:51:28	23	78	1
2022-09-25 14:51:28	24.2	172	2
2022-09-25 14:52:28	23	76	1
2022-09-25 14:52:28	24.2	168	2
2022-09-25 14:53:28	23	76	1
2022-09-25 14:53:28	24.2	172	2
2022-09-25 14:54:28	23	76	1
2022-09-25 14:54:28	24.2	172	2
2022-09-25 14:55:28	23	78	1
2022-09-25 14:55:28	24.2	168	2
2022-09-25 14:56:28	23	78	1
2022-09-25 14:56:28	24.2	168	2
2022-09-25 14:57:28	23	76	1
2022-09-25 14:57:28	24.2	172	2
2022-09-25 14:58:28	23	76	1
2022-09-25 14:58:28	24.2	172	2
2022-09-25 14:59:28	23	78	1
2022-09-25 14:59:28	24.2	170	2
2022-09-25 15:00:28	23	76	1
2022-09-25 15:00:28	24.2	170	2
2022-09-25 15:01:28	23	76	1
2022-09-25 15:01:28	24.2	168	2
2022-09-25 15:02:28	23	78	1
2022-09-25 15:02:28	24.2	168	2
2022-09-25 15:03:28	23	78	1
2022-09-25 15:03:28	24.2	172	2
2022-09-25 15:04:28	23	76	1
2022-09-25 15:04:28	24.2	168	2
2022-09-25 15:05:28	23	78	1
2022-09-25 15:05:28	24.2	172	2
2022-09-25 15:06:28	23	76	1
2022-09-25 15:06:28	24.2	168	2
2022-09-25 15:07:28	23	76	1
2022-09-25 15:07:28	24.2	168	2
2022-09-25 15:08:28	23	78	1
2022-09-25 15:08:28	24.2	168	2
2022-09-25 15:09:28	23	78	1
2022-09-25 15:09:28	24.2	168	2
2022-09-25 15:10:28	23	76	1
2022-09-25 15:10:28	24.2	170	2
2022-09-25 15:11:28	23	78	1
2022-09-25 15:11:28	24.2	168	2
2022-09-25 15:12:28	23	78	1
2022-09-25 15:12:28	24.2	168	2
2022-09-25 15:13:28	23	76	1
2022-09-25 15:13:28	24.2	172	2
2022-09-25 15:14:28	23	78	1
2022-09-25 15:14:28	24.2	172	2
2022-09-25 15:15:28	23	78	1
2022-09-25 15:15:28	24.2	170	2
2022-09-25 15:16:28	23	78	1
2022-09-25 15:16:28	24.2	170	2
2022-09-25 15:17:28	23	76	1
2022-09-25 15:17:28	24.2	168	2
2022-09-25 15:18:28	23	76	1
2022-09-25 15:18:28	24.2	172	2
2022-09-25 15:19:28	23	78	1
2022-09-25 15:19:28	24.2	172	2
2022-09-25 15:20:28	23	76	1
2022-09-25 15:20:28	24.2	170	2
2022-09-25 15:21:28	23	78	1
2022-09-25 15:21:28	24.2	170	2
2022-09-25 15:22:28	23	78	1
2022-09-25 15:22:28	24.2	168	2
2022-09-25 15:23:28	23	78	1
2022-09-25 15:23:28	24.2	172	2
2022-09-25 15:24:28	23	78	1
2022-09-25 15:24:28	24.2	168	2
2022-09-25 15:25:28	23	78	1
2022-09-25 15:25:28	24.2	168	2
2022-09-25 15:26:28	23	78	1
2022-09-25 15:26:28	24.2	168	2
2022-09-25 15:27:28	23	76	1
2022-09-25 15:27:28	24.2	170	2
2022-09-25 15:28:28	23	78	1
2022-09-25 15:28:28	24.2	172	2
2022-09-25 15:29:28	23	76	1
2022-09-25 15:29:28	24.2	168	2
2022-09-25 15:30:28	23	76	1
2022-09-25 15:30:28	24.2	172	2
2022-09-25 15:31:28	23	78	1
2022-09-25 15:31:28	24.2	168	2
2022-09-25 15:32:28	23	76	1
2022-09-25 15:32:28	24.2	172	2
2022-09-25 15:33:28	23	78	1
2022-09-25 15:33:28	24.2	172	2
2022-09-25 15:34:28	23	78	1
2022-09-25 15:34:28	24.2	170	2
2022-09-25 15:35:28	23	78	1
2022-09-25 15:35:28	24.2	172	2
2022-09-25 15:36:28	23	78	1
2022-09-25 15:36:28	24.2	168	2
2022-09-25 15:37:28	23	76	1
2022-09-25 15:37:28	24.2	172	2
2022-09-25 15:38:28	23	78	1
2022-09-25 15:38:28	24.2	170	2
2022-09-25 15:39:28	23	78	1
2022-09-25 15:39:28	24.2	172	2
2022-09-25 15:40:28	23	76	1
2022-09-25 15:40:28	24.2	172	2
2022-09-25 15:41:28	23	78	1
2022-09-25 15:41:28	24.2	168	2
