DateTime	Temperature	Illumination	Cage
2022-09-29 12:41:00	22	78	1
2022-09-29 12:41:00	22.6	164	2
2022-09-29 12:42:00	22	81	1
2022-09-29 12:42:00	22.6	168	2
2022-09-29 12:43:00	22	78	1
2022-09-29 12:43:00	23.2	170	2
2022-09-29 12:44:00	22	81	1
2022-09-29 12:44:00	23.2	168	2
2022-09-29 12:45:00	22.4	81	1
2022-09-29 12:45:00	23.2	168	2
2022-09-29 12:46:00	22.4	81	1
2022-09-29 12:46:00	23.2	172	2
2022-09-29 12:47:00	22.4	78	1
2022-09-29 12:47:00	23.2	170	2
2022-09-29 12:48:00	22.4	78	1
2022-09-29 12:48:00	23.6	168	2
2022-09-29 12:49:00	22.4	81	1
2022-09-29 12:49:00	23.6	172	2
2022-09-29 12:50:00	23	81	1
2022-09-29 12:50:00	23.6	172	2
2022-09-29 12:51:00	23	81	1
2022-09-29 12:51:00	23.6	172	2
2022-09-29 12:52:00	23	78	1
2022-09-29 12:52:00	23.6	170	2
2022-09-29 12:53:00	23	81	1
2022-09-29 12:53:00	23.6	168	2
2022-09-29 12:54:00	23	81	1
2022-09-29 12:54:00	23.6	172	2
2022-09-29 12:55:00	23	83	1
2022-09-29 12:55:00	23.6	175	2
2022-09-29 12:56:00	23	81	1
2022-09-29 12:56:00	23.6	170	2
2022-09-29 12:57:00	23	81	1
2022-09-29 12:57:00	23.6	172	2
2022-09-29 12:58:00	23	81	1
2022-09-29 12:58:00	23.6	172	2
2022-09-29 12:59:00	23	81	1
2022-09-29 12:59:00	23.6	168	2
2022-09-29 13:00:00	23	78	1
2022-09-29 13:00:00	23.6	175	2
2022-09-29 13:01:00	23	81	1
2022-09-29 13:01:00	23.6	168	2
2022-09-29 13:02:00	23	78	1
2022-09-29 13:02:00	23.6	172	2
2022-09-29 13:03:00	23	78	1
2022-09-29 13:03:00	23.6	172	2
2022-09-29 13:04:00	23	81	1
2022-09-29 13:04:00	23.6	170	2
2022-09-29 13:05:00	23	81	1
2022-09-29 13:05:00	23.6	172	2
2022-09-29 13:06:00	23.4	81	1
2022-09-29 13:06:00	23.6	175	2
2022-09-29 13:07:00	23	81	1
2022-09-29 13:07:00	23.6	175	2
2022-09-29 13:08:00	23	81	1
2022-09-29 13:08:00	23.6	170	2
2022-09-29 13:09:00	23	78	1
2022-09-29 13:09:00	23.6	175	2
2022-09-29 13:10:00	23.4	81	1
2022-09-29 13:10:00	23.6	170	2
2022-09-29 13:11:00	23	78	1
2022-09-29 13:11:00	24.2	172	2
2022-09-29 13:12:00	23	81	1
2022-09-29 13:12:00	23.6	172	2
2022-09-29 13:13:00	23	81	1
2022-09-29 13:13:00	23.6	175	2
2022-09-29 13:14:00	23.4	83	1
2022-09-29 13:14:00	23.6	170	2
2022-09-29 13:15:00	23.4	81	1
2022-09-29 13:15:00	23.6	170	2
2022-09-29 13:16:00	23	81	1
2022-09-29 13:16:00	23.6	175	2
2022-09-29 13:17:00	23.4	81	1
2022-09-29 13:17:00	23.6	170	2
2022-09-29 13:18:00	23.4	81	1
2022-09-29 13:18:00	23.6	170	2
2022-09-29 13:19:00	23.4	83	1
2022-09-29 13:19:00	23.6	172	2
2022-09-29 13:20:00	23.4	81	1
2022-09-29 13:20:00	23.6	175	2
2022-09-29 13:21:00	23.4	81	1
2022-09-29 13:21:00	23.6	170	2
2022-09-29 13:22:00	23.4	81	1
2022-09-29 13:22:00	23.6	175	2
2022-09-29 13:23:00	23.4	81	1
2022-09-29 13:23:00	23.6	175	2
2022-09-29 13:24:00	23.4	81	1
2022-09-29 13:24:00	23.6	172	2
2022-09-29 13:25:00	23.4	81	1
2022-09-29 13:25:00	23.6	168	2
2022-09-29 13:26:00	23.4	81	1
2022-09-29 13:26:00	23.6	168	2
2022-09-29 13:27:00	23.4	81	1
