Animal	Tag	Sex	Weight	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
1045-1108	900200000471269	Unknown	0	Group1A	IntelliCage 1	2022-09-29 12:41:19.182	2022-10-04 11:38:07.079	4	1291	8766.74200000001	2642	3339.496	5827	1271.3655358	807.125999030191	49.3	637	38.3	1013	0.0	0	0.0	0
1045-1126	900200000472620	Unknown	0	Group1A	IntelliCage 1	2022-09-29 12:41:10.355	2022-10-04 11:46:45.559	1	1116	9378.78899999999	2521	2859.487	7032	963.8514117	483.543999711983	58.6	654	48.7	1227	0.0	0	0.0	0
1045-1136	900200000471478	Unknown	0	Group1A	IntelliCage 1	2022-09-29 13:04:40.338	2022-10-04 13:17:46.722	4	921	7194.71600000001	2859	2557.71	9336	1168.0206857	507.23899932811	52.4	483	44.4	1268	0.0	0	0.0	0
1045-1141	900200000470680	Unknown	0	Group1A	IntelliCage 1	2022-09-29 12:43:26.184	2022-10-04 11:06:16.937	1	1058	10224.507	3382	3815.744	7129	892.407898900001	336.947999361437	54.4	576	55.9	1890	0.0	0	0.0	0
dummy 1	900200000196653	Unknown	0	Group1A	IntelliCage 1 dummy animal				0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
1045-1142	900200000469486	Unknown	0	Group1B	IntelliCage 1	2022-09-29 12:44:34.539	2022-10-04 13:51:27.498	4	1278	10965.299	4488	2949.741	6460	791.2194812	348.99399763532	53.8	687	42.8	1920	0.0	0	0.0	0
1045-1144	900200000471127	Unknown	0	Group1B	IntelliCage 1	2022-09-29 12:42:00.437	2022-10-04 12:21:49.237	4	752	5642.662	1774	1639.457	6419	794.3599149	310.33799960441	57.6	433	52.6	934	0.0	0	0.0	0
1045-1145	900200000402822	Unknown	0	Group1B	IntelliCage 1	2022-09-29 12:42:06.672	2022-10-04 12:27:06.001	1	1303	12099.058	4696	3250.109	9263	1183.3372235	483.034001402557	56.6	737	54.8	2573	0.0	0	0.0	0
1045-1149	900200000469983	Unknown	0	Group1B	IntelliCage 1	2022-09-29 12:43:46.417	2022-10-04 11:45:27.296	4	971	7797.029	2276	2400.097	8505	1102.5115662	449.988001059508	55.9	543	53.0	1206	0.0	0	0.0	0
1045-1150	900200000469796	Unknown	0	Group1C	IntelliCage 1	2022-09-29 12:47:01.305	2022-10-04 11:14:00.948	3	973	9009.05	2262	2377.018	6878	854.9540125	327.985000713728	51.0	496	41.0	927	0.0	0	0.0	0
1045-1151	900200000402024	Unknown	0	Group1C	IntelliCage 1	2022-09-29 12:43:17.477	2022-10-04 11:58:54.536	3	735	7544.325	1927	2085.876	7435	907.8900922	353.752999342512	53.5	393	53.0	1022	0.0	0	0.0	0
1045-1165	900200000472308	Unknown	0	Group1C	IntelliCage 1	2022-09-29 12:42:41.284	2022-10-04 11:18:55.983	1	1032	7426.386	1759	2184.635	8590	1050.5571235	417.191000320017	57.8	597	50.0	880	0.0	0	0.0	0
1045-1283	900200000472239	Unknown	0	Group1C	IntelliCage 1	2022-09-29 12:44:20.221	2022-10-04 11:16:31.549	4	877	6518.99299999999	1605	2203.659	9413	1099.0834568	491.674999083159	49.8	437	50.0	803	0.0	0	0.0	0
1045-1284	900200000471771	Unknown	0	Group1D	IntelliCage 1	2022-09-29 12:43:13.548	2022-10-04 13:43:40.681	2	1271	10593.253	2931	3077.047	9355	1121.1902868	450.024999759044	57.4	730	42.7	1251	0.0	0	0.0	0
1045-1285	900200000473213	Unknown	0	Group1D	IntelliCage 1	2022-09-29 12:45:24.316	2022-10-04 09:22:43.201	2	850	6542.39899999999	1745	2282.276	8494	1010.1851642	395.112999128178	53.1	451	47.7	833	0.0	0	0.0	0
1045-1286	900200000473251	Unknown	0	Group1D	IntelliCage 1	2022-09-29 12:41:01.986	2022-10-02 09:54:32.418	3	243	561.799	124	31.439	0	0	0	79.4	193	85.5	106	0.0	0	0.0	0
1045-1287	900200000469608	Unknown	0	Group1D	IntelliCage 1	2022-09-29 12:42:12.855	2022-10-04 13:42:31.739	3	1190	8984.60799999999	2862	2823.92	7805	961.4182511	380.226999001112	50.3	598	44.4	1271	0.0	0	0.0	0
1045-1109	900200000471102	Unknown	0	Group2A	IntelliCage 2	2022-09-29 12:42:51.997	2022-10-04 13:29:43.464	4	880	9822.94500000002	4426	3930.766	9535	1178.8373	465.007999005727	47.5	418	32.9	1454	0.0	0	0.0	0
1045-1110	900200000471894	Unknown	0	Group2A	IntelliCage 2 	2022-09-29 12:44:03.818	2022-10-04 12:36:47.220	2	874	8503.832	2355	2434.575	5907	756.0970391	298.892999472795	52.9	462	51.9	1223	0.0	0	0.0	0
1045-1115	900200000278040	Unknown	0	Group2A	IntelliCage 2 	2022-09-29 12:52:54.581	2022-10-04 13:37:55.920	3	1073	9279.354	2772	2994.486	9120	1163.1432298	502.977999370545	50.2	539	41.0	1137	0.0	0	0.0	0
1045-1116	900200000471039	Unknown	0	Group2A	IntelliCage 2 	2022-09-29 12:42:17.233	2022-10-04 13:43:51.990	4	674	5893.728	1592	2200.831	7890	957.2954725	391.985999356955	45.8	309	39.3	625	0.0	0	0.0	0
dummy 2	900200000194856	Unknown	0	Group2A	IntelliCage 2 dummy animal				0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
1045-1117	900200000472610	Unknown	0	Group2B	IntelliCage 2 	2022-09-29 12:41:04.833	2022-10-04 13:52:55.997	1	950	15333.071	3354	5269.96499999999	4830	622.4361477	232.635000485927	60.7	577	66.1	2217	0.0	0	0.0	0
1045-1118	900200000471017	Unknown	0	Group2B	IntelliCage 2 	2022-09-29 12:43:20.873	2022-10-04 13:44:44.223	1	907	11830.095	2764	3118.764	6445	860.4512446	402.842998653883	60.1	545	60.9	1684	0.0	0	0.0	0
