Animal	Tag	Sex	Weight	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
310	900200000470221	Unknown	0	Default		2020-03-15 18:27:09.423	2020-03-16 10:22:30.259	3	147	2158.426	321	522.779	1971	336.7148432	182.144999139011	66.0	97	56.4	181	0.0	0	0.0	0
311	900200000277994	Unknown	0	Default		2020-03-15 17:31:11.167	2020-03-16 15:26:08.325	1	204	2784.898	322	430.626	1524	214.7914534	86.8819995466619	84.3	172	63.0	203	0.0	0	0.0	0
318	900200000472239	Unknown	0	Default		2020-03-15 17:05:13.365	2020-03-16 15:38:37.392	3	299	2632.872	481	601.95	2113	329.6728512	168.363000743091	65.9	197	51.6	248	0.0	0	0.0	0
351	900200000100961	Unknown	0	Default		2020-03-15 17:14:08.696	2020-03-16 13:10:40.701	2	299	3212.888	508	541.459	155	24.6289067	7.49000003561378	68.2	204	68.5	348	0.0	0	0.0	0
372	900200000102097	Unknown	0	Default		2020-03-15 17:01:28.499	2020-03-16 14:39:15.506	4	391	2761.187	517	565.987	2504	318.8554683	134.745000194758	66.5	260	55.3	286	0.0	0	0.0	0
376	900200000470237	Unknown	0	Default		2020-03-15 17:15:14.164	2020-03-16 15:25:18.892	3	276	1787.336	357	505.242	2415	318.1546875	122.252000018954	73.2	202	63.9	228	0.0	0	0.0	0
377	900200000473319	Unknown	0	Default		2020-03-15 17:20:00.890	2020-03-16 15:27:26.243	3	214	1653.403	334	469.367	442	69.4638666	34.4809993244707	66.8	143	63.2	211	0.0	0	0.0	0
391	900200000098708	Unknown	0	Default		2020-03-15 17:53:54.895	2020-03-16 15:35:44.041	3	249	2367.962	420	414.12	239	32.4785158	11.332000002265	63.5	158	63.1	265	0.0	0	0.0	0
392	900200000279265	Unknown	0	Default		2020-03-15 17:08:24.030	2020-03-16 15:24:40.824	4	259	2941.926	513	629.139	2158	376.2151017	214.800000451505	71.0	184	60.8	312	0.0	0	0.0	0
395	900200000470661	Unknown	0	Default		2020-03-15 16:20:06.886	2020-03-16 15:28:51.382	1	350	2828.679	459	585.754	2635	421.2236331	204.080000352114	78.9	276	63.2	290	0.0	0	0.0	0
396	900200000471760	Unknown	0	Default		2020-03-15 17:03:55.899	2020-03-16 15:25:05.663	4	364	1698.897	295	424.409	966	127.5078124	46.8160000201315	66.2	241	61.7	182	0.0	0	0.0	0
404	900200000402822	Unknown	0	Default		2020-03-15 17:24:36.601	2020-03-16 14:51:41.513	3	194	1845.609	283	490.985	165	25.0917973	6.7759999781847	66.5	129	55.5	157	0.0	0	0.0	0
423	900200000473251	Unknown	0	Default		2020-03-15 17:24:56.424	2020-03-16 14:14:34.092	2	219	2092.667	361	565.065	3257	398.6298822	154.614000199363	67.1	147	53.7	194	0.0	0	0.0	0
436	900200000471512	Unknown	0	Default		2020-03-15 17:27:44.962	2020-03-16 15:32:45.170	1	315	2857.23	500	602.904	2270	298.7578122	145.58300129883	77.1	243	77.2	386	0.0	0	0.0	0
447	900200000471281	Unknown	0	Default		2020-03-15 17:23:54.003	2020-03-16 12:52:26.768	3	232	2215.85	408	578.367	491	66.2078903	20.2159999962896	67.7	157	67.4	275	0.0	0	0.0	0
463	900200000274959	Unknown	0	Default		2020-03-15 16:57:08.844	2020-03-16 15:29:14.925	2	299	2694.402	487	497.841	330	63.0619608	31.9839999079704	74.6	223	61.4	299	0.0	0	0.0	0
290	900200000274781	Unknown	0	Default		2020-03-15 16:55:34.254	2020-03-16 15:14:41.233	2	204	4639.155	518	545.642	2500	325.5097654	129.666000952944	72.5	148	62.0	321	0.0	0	0.0	0
292	900200000472308	Unknown	0	Default		2020-03-15 16:42:56.526	2020-03-16 15:06:19.819	3	203	2783.466	710	681.613	739	97.2841804	34.9270000718534	67.0	136	66.6	473	0.0	0	0.0	0
293	900200000471127	Unknown	0	Default		2020-03-15 16:51:10.466	2020-03-16 15:37:02.288	3	210	2383.074	420	594.218	299	47.8515622	19.5299999713898	67.1	141	68.6	288	0.0	0	0.0	0
299	900200000071401	Unknown	0	Default		2020-03-15 17:22:11.843	2020-03-16 14:50:04.902	3	235	2958.865	664	861.54	3308	410.766508	166.74700015597	68.9	162	54.8	364	0.0	0	0.0	0
352	900200000098829	Unknown	0	Default		2020-03-15 17:01:27.878	2020-03-16 13:02:47.053	3	230	4429.046	405	562.33	2842	358.1826175	134.843999899924	72.2	166	64.4	261	0.0	0	0.0	0
359	900200000402024	Unknown	0	Default		2020-03-15 17:11:07.383	2020-03-16 15:34:10.370	2	134	2159.673	335	482.47	1984	259.8857427	91.5549996960908	64.9	87	52.8	177	0.0	0	0.0	0
360	900200000471478	Unknown	0	Default		2020-03-15 16:41:01.034	2020-03-16 15:05:29.208	3	248	2263.178	538	616.531	1734	206.6777343	77.3569997288287	69.8	173	70.3	378	0.0	0	0.0	0
361	900200000278282	Unknown	0	Default		2020-03-15 16:56:17.161	2020-03-16 15:26:48.838	3	229	3127.033	491	663.927	2374	300.1552734	113.729999862611	73.8	169	66.2	325	0.0	0	0.0	0
365	900200000471313	Unknown	0	Default		2020-03-15 16:50:08.360	2020-03-16 14:17:24.698	2	241	3584.3	586	689.763	2833	349.8632807	130.888999242336	72.6	175	58.0	340	0.0	0	0.0	0
366	900200000473903	Unknown	0	Default		2020-03-15 16:53:21.179	2020-03-16 13:25:22.240	4	187	3613.405	493	588.205	1023	137.0078123	61.1729997787625	67.9	127	62.1	306	0.0	0	0.0	0
378	900200000278040	Unknown	0	Default		2020-03-15 16:45:21.681	2020-03-16 15:32:22.702	4	258	2780.757	732	554.266999999999	806	112.8447266	46.8980005756021	74.8	193	75.8	555	0.0	0	0.0	0
386	900200000102055	Unknown	0	Default		2020-03-15 16:40:49.740	2020-03-16 12:47:26.913	3	238	3130.865	733	666.333	2304	306.0068359	121.382999226451	72.7	173	66.7	489	0.0	0	0.0	0
394	900200000071461	Unknown	0	Default		2020-03-15 17:10:00.543	2020-03-16 15:13:25.420	4	182	2660.049	413	477.989	2251	296.4092495	104.700000438839	68.7	125	68.8	284	0.0	0	0.0	0
450	900200000067054	Unknown	0	Default		2020-03-15 16:30:10.781	2020-03-16 14:17:56.956	2	103	1666.882	246	587.238	647	102.2548827	43.5259995814413	58.3	60	50.8	125	0.0	0	0.0	0
453	900200000471894	Unknown	0	Default		2020-03-15 17:01:36.597	2020-03-16 15:35:55.906	1	133	2032.221	356	518.872	500	74.1845704	22.7939997836947	71.4	95	70.8	252	0.0	0	0.0	0
454	900200000102855	Unknown	0	Default		2020-03-15 16:38:24.168	2020-03-16 15:12:52.556	1	124	2039.627	302	608.518	3093	390.675782	142.134999228641	61.3	76	62.3	188	0.0	0	0.0	0
Animal 33	900200000196653	Unknown	0	Default					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
