DateTime	Type	Cage	Corner	Side	State
2020-03-15 16:40:49.771	Door	2	4	8	0
2020-03-15 16:41:10.187	Door	2	2	3	0
2020-03-15 16:41:10.187	Door	2	2	4	0
2020-03-15 16:41:11.310	Door	2	1	1	0
2020-03-15 16:41:11.327	Door	2	1	2	0
2020-03-15 16:41:38.346	Door	2	4	7	0
2020-03-15 16:41:38.363	Door	2	4	8	0
2020-03-15 16:41:48.708	Door	2	3	5	0
2020-03-15 16:41:50.135	Door	2	3	5	1
2020-03-15 16:41:53.272	Door	2	3	5	1
2020-03-15 16:41:54.568	Door	2	3	5	1
2020-03-15 16:41:54.667	Door	2	3	5	1
2020-03-15 16:42:13.209	Door	2	3	5	1
2020-03-15 16:42:13.872	Door	2	3	5	1
2020-03-15 16:42:13.872	Door	2	3	6	0
2020-03-15 16:42:16.137	Door	2	3	5	0
2020-03-15 16:42:57.526	Door	2	1	1	0
2020-03-15 16:42:58.953	Door	2	1	1	1
2020-03-15 16:43:05.581	Door	2	1	1	1
2020-03-15 16:43:05.581	Door	2	1	2	0
2020-03-15 16:43:07.859	Door	2	1	1	0
2020-03-15 16:43:36.310	Door	2	4	7	0
2020-03-15 16:43:36.326	Door	2	4	8	0
2020-03-15 16:45:21.696	Door	2	1	1	0
2020-03-15 16:45:21.712	Door	2	1	2	0
2020-03-15 16:45:34.853	Door	2	4	7	0
2020-03-15 16:45:34.871	Door	2	4	8	0
2020-03-15 16:45:49.458	Door	2	1	1	0
2020-03-15 16:45:49.475	Door	2	1	2	0
2020-03-15 16:46:28.117	Door	2	4	7	0
2020-03-15 16:46:28.133	Door	2	4	8	0
2020-03-15 16:47:08.431	Door	2	3	5	0
2020-03-15 16:47:08.447	Door	2	3	6	0
2020-03-15 16:47:34.661	Door	2	1	1	0
2020-03-15 16:47:34.676	Door	2	1	2	0
2020-03-15 16:48:01.445	Door	2	2	3	0
2020-03-15 16:48:01.461	Door	2	2	4	0
2020-03-15 16:49:01.988	Door	2	2	3	0
2020-03-15 16:49:02.004	Door	2	2	4	0
2020-03-15 16:49:57.970	Door	2	4	7	0
2020-03-15 16:49:57.996	Door	2	4	8	0
2020-03-15 16:50:08.375	Door	2	3	5	0
2020-03-15 16:50:08.391	Door	2	3	6	0
2020-03-15 16:50:14.354	Door	2	4	7	0
2020-03-15 16:50:14.354	Door	2	4	8	0
2020-03-15 16:51:10.479	Door	2	1	1	0
2020-03-15 16:51:10.496	Door	2	1	2	0
2020-03-15 16:52:27.849	Door	2	2	4	0
2020-03-15 16:52:28.189	Door	2	2	3	0
2020-03-15 16:52:28.476	Door	2	2	3	0
2020-03-15 16:52:29.274	Door	2	2	3	1
2020-03-15 16:52:29.278	Door	2	2	4	1
2020-03-15 16:52:29.446	Door	2	2	3	1
2020-03-15 16:52:29.447	Door	2	2	4	1
2020-03-15 16:52:31.413	Door	2	2	3	0
2020-03-15 16:52:31.417	Door	2	2	4	0
2020-03-15 16:53:34.150	Door	2	1	1	0
2020-03-15 16:53:34.150	Door	2	1	2	0
2020-03-15 16:53:40.513	Door	2	3	5	0
2020-03-15 16:53:40.530	Door	2	3	6	0
2020-03-15 16:53:59.145	Door	2	2	3	0
2020-03-15 16:53:59.158	Door	2	2	4	0
2020-03-15 16:54:06.067	Door	2	2	3	0
2020-03-15 16:54:06.083	Door	2	2	4	0
2020-03-15 16:54:26.954	Door	2	1	1	0
2020-03-15 16:54:26.970	Door	2	1	2	0
2020-03-15 16:55:34.272	Door	2	2	3	0
2020-03-15 16:55:34.288	Door	2	2	4	0
2020-03-15 16:55:58.745	Door	2	4	7	0
2020-03-15 16:56:00.173	Door	2	4	7	1
2020-03-15 16:56:03.479	Door	2	3	5	0
2020-03-15 16:56:03.496	Door	2	3	6	0
2020-03-15 16:56:04.717	Door	2	4	7	1
2020-03-15 16:56:04.717	Door	2	4	8	0
2020-03-15 16:56:06.955	Door	2	4	7	0
2020-03-15 16:56:10.399	Door	2	1	1	0
2020-03-15 16:56:10.416	Door	2	1	2	0
2020-03-15 16:56:17.175	Door	2	2	3	0
2020-03-15 16:56:17.192	Door	2	2	4	0
2020-03-15 16:56:17.255	Door	2	4	7	0
2020-03-15 16:56:17.272	Door	2	4	8	0
2020-03-15 16:56:26.541	Door	2	1	1	0
2020-03-15 16:56:26.558	Door	2	1	2	0
2020-03-15 16:57:08.872	Door	1	1	1	0
2020-03-15 16:57:08.878	Door	1	1	2	0
2020-03-15 16:57:19.229	Door	2	4	7	0
2020-03-15 16:57:19.246	Door	2	4	8	0
2020-03-15 16:57:21.106	Door	2	3	5	0
2020-03-15 16:57:21.122	Door	2	3	6	0
2020-03-15 16:57:33.558	Door	2	2	3	0
2020-03-15 16:57:33.558	Door	2	2	4	0
2020-03-15 16:58:25.416	Door	2	4	7	0
2020-03-15 16:58:25.431	Door	2	4	8	0
2020-03-15 16:58:44.456	Door	2	3	5	0
2020-03-15 16:58:45.864	Door	2	3	5	1
2020-03-15 16:58:51.470	Door	2	1	1	0
2020-03-15 16:58:51.486	Door	2	1	2	0
2020-03-15 16:58:54.804	Door	2	3	6	0
2020-03-15 16:58:56.231	Door	2	3	6	1
2020-03-15 16:58:59.298	Door	2	3	6	1
2020-03-15 16:59:04.547	Door	2	3	5	1
2020-03-15 16:59:11.030	Door	2	3	6	1
2020-03-15 16:59:15.157	Door	2	3	5	1
2020-03-15 16:59:20.972	Door	2	3	5	1
2020-03-15 16:59:25.396	Door	2	3	5	1
2020-03-15 16:59:25.396	Door	2	3	6	1
2020-03-15 16:59:25.542	Door	2	3	5	1
2020-03-15 16:59:25.560	Door	2	3	6	1
2020-03-15 16:59:27.014	Door	2	3	5	0
2020-03-15 16:59:27.020	Door	2	3	6	0
2020-03-15 16:59:37.870	Door	2	2	3	0
2020-03-15 16:59:37.886	Door	2	2	4	0
2020-03-15 16:59:43.977	Door	2	4	7	0
2020-03-15 16:59:43.987	Door	2	4	8	0
2020-03-15 16:59:56.267	Door	2	1	1	0
2020-03-15 16:59:56.284	Door	2	1	2	0
2020-03-15 17:00:11.630	Door	2	3	5	0
2020-03-15 17:00:11.646	Door	2	3	6	0
2020-03-15 17:00:27.884	Door	2	4	7	0
2020-03-15 17:00:27.900	Door	2	4	8	0
2020-03-15 17:00:35.188	Door	2	1	1	0
2020-03-15 17:00:35.205	Door	2	1	2	0
2020-03-15 17:01:27.893	Door	2	1	1	0
2020-03-15 17:01:27.910	Door	2	1	2	0
