DateTime	Type	Cage	Corner	Side	State
2020-03-16 16:06:46.865	Door	1	1	1	1
2020-03-16 16:06:48.872	Door	1	1	2	1
2020-03-16 16:06:50.917	Door	1	1	1	1
2020-03-16 16:06:51.431	Door	1	1	1	1
2020-03-16 16:06:54.255	Door	1	1	1	1
2020-03-16 16:06:55.456	Door	1	1	1	1
2020-03-16 16:06:55.456	Door	1	1	2	1
2020-03-16 16:06:57.710	Door	1	1	1	0
2020-03-16 16:06:57.714	Door	1	1	2	0
2020-03-16 16:07:04.474	Door	1	2	3	0
2020-03-16 16:07:04.491	Door	1	2	4	0
2020-03-16 16:07:35.594	Door	2	4	8	0
2020-03-16 16:07:37.017	Door	2	4	8	1
2020-03-16 16:07:49.364	Door	2	4	7	0
2020-03-16 16:07:50.787	Door	2	4	7	1
2020-03-16 16:07:57.063	Door	2	4	8	1
2020-03-16 16:07:57.276	Door	2	4	8	1
2020-03-16 16:08:01.405	Door	2	4	7	1
2020-03-16 16:08:07.817	Door	2	4	7	1
2020-03-16 16:08:10.949	Door	2	4	8	1
2020-03-16 16:08:12.555	Door	2	4	8	1
2020-03-16 16:08:13.208	Door	2	4	7	1
2020-03-16 16:08:15.430	Door	2	4	7	1
2020-03-16 16:08:15.430	Door	2	4	8	1
2020-03-16 16:08:16.935	Door	2	4	7	0
2020-03-16 16:08:16.940	Door	2	4	8	0
2020-03-16 16:08:37.020	Door	2	4	7	0
2020-03-16 16:08:37.801	Door	2	4	7	0
2020-03-16 16:08:38.450	Door	2	4	7	1
2020-03-16 16:08:46.767	Door	2	4	7	1
2020-03-16 16:08:47.331	Door	2	4	8	0
2020-03-16 16:08:48.753	Door	2	4	8	1
2020-03-16 16:08:54.125	Door	2	4	7	1
2020-03-16 16:08:54.664	Door	2	4	7	1
2020-03-16 16:08:55.709	Door	2	4	7	1
2020-03-16 16:08:55.709	Door	2	4	8	1
2020-03-16 16:08:56.950	Door	2	1	1	0
2020-03-16 16:08:56.966	Door	2	1	2	0
2020-03-16 16:08:57.273	Door	2	3	5	0
2020-03-16 16:08:57.290	Door	2	3	6	0
2020-03-16 16:08:58.004	Door	2	4	7	0
2020-03-16 16:08:58.008	Door	2	4	8	0
2020-03-16 16:09:33.830	Door	2	1	2	0
2020-03-16 16:09:35.251	Door	2	1	2	1
2020-03-16 16:09:52.766	Door	2	1	1	0
2020-03-16 16:09:54.188	Door	2	1	1	1
2020-03-16 16:09:55.216	Door	2	1	1	1
2020-03-16 16:09:55.216	Door	2	1	2	1
2020-03-16 16:09:57.479	Door	2	1	1	0
2020-03-16 16:09:57.484	Door	2	1	2	0
2020-03-16 16:10:18.982	Door	2	1	2	0
2020-03-16 16:10:19.579	Door	2	1	2	0
2020-03-16 16:10:19.755	Door	2	1	2	1
2020-03-16 16:10:21.392	Door	2	1	2	1
2020-03-16 16:10:21.789	Door	2	1	2	1
2020-03-16 16:10:22.633	Door	2	4	7	0
2020-03-16 16:10:22.651	Door	2	4	8	0
2020-03-16 16:10:31.229	Door	2	1	2	1
2020-03-16 16:10:32.545	Door	2	1	2	1
2020-03-16 16:10:32.600	Door	2	1	2	1
2020-03-16 16:10:44.482	Door	2	1	1	0
2020-03-16 16:10:45.904	Door	2	1	1	1
2020-03-16 16:10:49.470	Door	2	1	1	1
2020-03-16 16:10:53.917	Door	2	1	2	1
2020-03-16 16:10:55.447	Door	2	1	2	1
2020-03-16 16:10:56.214	Door	2	1	2	1
2020-03-16 16:11:14.625	Door	2	1	1	1
2020-03-16 16:11:16.600	Door	2	1	1	1
2020-03-16 16:11:16.600	Door	2	1	2	1
2020-03-16 16:11:18.542	Door	2	1	1	0
2020-03-16 16:11:18.546	Door	2	1	2	0
2020-03-16 16:11:20.814	Door	2	1	1	0
2020-03-16 16:11:20.815	Door	2	1	2	0
2020-03-16 16:11:23.943	Door	2	1	1	0
2020-03-16 16:11:23.959	Door	2	1	2	0
2020-03-16 16:11:29.489	Door	2	4	7	0
2020-03-16 16:11:30.912	Door	2	4	7	1
2020-03-16 16:11:32.354	Door	2	4	7	1
2020-03-16 16:11:33.602	Door	2	1	1	0
2020-03-16 16:11:35.025	Door	2	1	1	1
2020-03-16 16:11:35.106	Door	2	1	1	1
2020-03-16 16:11:36.662	Door	2	4	7	1
2020-03-16 16:11:37.458	Door	2	4	8	0
2020-03-16 16:11:38.668	Door	2	4	7	1
2020-03-16 16:11:38.668	Door	2	4	8	0
2020-03-16 16:11:40.708	Door	2	4	7	0
2020-03-16 16:11:42.106	Door	2	4	7	0
2020-03-16 16:11:42.106	Door	2	4	8	0
2020-03-16 16:11:49.248	Door	2	1	2	0
2020-03-16 16:11:50.670	Door	2	1	2	1
2020-03-16 16:11:55.669	Door	2	1	1	1
2020-03-16 16:11:55.839	Door	2	1	1	1
2020-03-16 16:11:56.375	Door	2	1	2	1
2020-03-16 16:11:58.302	Door	2	1	1	1
2020-03-16 16:11:58.303	Door	2	1	2	1
2020-03-16 16:11:59.693	Door	2	1	1	0
2020-03-16 16:12:00.678	Door	2	1	2	0
2020-03-16 16:12:13.046	Door	2	2	3	0
2020-03-16 16:12:13.063	Door	2	2	4	0
2020-03-16 16:12:29.304	Door	2	4	7	0
2020-03-16 16:12:29.321	Door	2	4	8	0
2020-03-16 16:13:39.502	Door	2	1	1	0
2020-03-16 16:13:39.518	Door	2	1	2	0
2020-03-16 16:14:33.270	Door	1	4	7	0
2020-03-16 16:14:33.287	Door	1	4	8	0
2020-03-16 16:14:49.780	Door	2	1	2	0
2020-03-16 16:14:49.833	Door	2	1	2	0
2020-03-16 16:14:50.172	Door	2	1	2	1
2020-03-16 16:15:08.924	Door	2	1	1	0
2020-03-16 16:15:09.421	Door	2	1	2	1
2020-03-16 16:15:09.434	Door	2	1	1	1
2020-03-16 16:15:11.103	Door	2	1	1	1
2020-03-16 16:15:11.103	Door	2	1	2	1
2020-03-16 16:15:13.423	Door	2	1	1	0
2020-03-16 16:15:13.427	Door	2	1	2	0
2020-03-16 16:19:56.859	Door	2	2	3	0
2020-03-16 16:19:56.860	Door	2	2	4	0
2020-03-16 16:22:18.914	Door	2	1	2	0
2020-03-16 16:22:19.084	Door	2	1	2	0
2020-03-16 16:22:20.336	Door	2	1	2	1
2020-03-16 16:22:22.008	Door	2	1	1	0
2020-03-16 16:22:22.756	Door	2	1	2	1
2020-03-16 16:22:22.766	Door	2	1	1	1
2020-03-16 16:22:24.296	Door	2	1	1	1
2020-03-16 16:22:24.296	Door	2	1	2	1
2020-03-16 16:22:26.593	Door	2	1	1	0
2020-03-16 16:22:26.597	Door	2	1	2	0
2020-03-16 16:25:19.896	Door	1	4	8	0
2020-03-16 16:25:20.083	Door	1	4	8	0
2020-03-16 16:25:20.312	Door	1	4	8	1
2020-03-16 16:25:43.261	Door	1	4	8	1
2020-03-16 16:25:49.170	Door	1	4	7	0
2020-03-16 16:25:49.705	Door	1	4	7	1
2020-03-16 16:26:01.697	Door	1	4	7	1
2020-03-16 16:26:03.939	Door	1	4	8	1
2020-03-16 16:26:08.086	Door	1	4	8	1
2020-03-16 16:26:12.509	Door	1	4	7	1
2020-03-16 16:26:12.510	Door	1	4	8	1
2020-03-16 16:26:14.793	Door	1	4	7	0
2020-03-16 16:26:14.797	Door	1	4	8	0
2020-03-16 16:26:40.046	Door	1	2	3	0
2020-03-16 16:26:40.046	Door	1	2	4	0
2020-03-16 16:27:59.205	Door	2	2	4	0
2020-03-16 16:28:00.628	Door	2	2	4	1
2020-03-16 16:28:03.436	Door	2	2	3	0
2020-03-16 16:28:03.997	Door	2	2	3	1
2020-03-16 16:28:05.193	Door	2	4	7	0
2020-03-16 16:28:05.210	Door	2	4	8	0
2020-03-16 16:28:13.623	Door	2	2	3	1
2020-03-16 16:28:13.623	Door	2	2	4	1
2020-03-16 16:28:15.753	Door	2	2	3	0
2020-03-16 16:28:15.758	Door	2	2	4	0
2020-03-16 16:28:16.195	Door	2	1	1	0
2020-03-16 16:28:16.211	Door	2	1	2	0
2020-03-16 16:28:46.497	Door	2	1	1	0
2020-03-16 16:28:46.513	Door	2	1	2	0
2020-03-16 16:29:28.416	Door	2	4	7	0
2020-03-16 16:29:29.840	Door	2	4	7	1
2020-03-16 16:29:56.783	Door	2	4	7	1
2020-03-16 16:30:00.583	Door	2	4	8	0
2020-03-16 16:30:01.989	Door	2	4	8	1
2020-03-16 16:30:12.759	Door	2	4	7	1
2020-03-16 16:30:14.852	Door	2	4	7	1
2020-03-16 16:30:21.035	Door	2	4	8	1
2020-03-16 16:30:25.984	Door	2	4	8	1
2020-03-16 16:30:32.978	Door	2	4	7	1
2020-03-16 16:30:32.979	Door	2	4	8	1
2020-03-16 16:30:34.347	Door	2	3	5	0
2020-03-16 16:30:34.363	Door	2	3	6	0
2020-03-16 16:30:35.273	Door	2	4	7	0
2020-03-16 16:30:35.279	Door	2	4	8	0
2020-03-16 16:31:03.054	Door	2	1	2	0
2020-03-16 16:31:04.484	Door	2	1	2	1
2020-03-16 16:31:19.353	Door	2	1	2	1
2020-03-16 16:31:30.638	Door	2	1	1	0
2020-03-16 16:31:30.638	Door	2	1	2	1
2020-03-16 16:31:32.941	Door	2	1	2	0
2020-03-16 16:35:37.407	Door	1	3	5	0
2020-03-16 16:35:38.830	Door	1	3	5	1
2020-03-16 16:35:49.830	Door	1	3	5	1
2020-03-16 16:35:49.831	Door	1	3	6	0
2020-03-16 16:35:52.097	Door	1	3	5	0
2020-03-16 16:38:41.166	Door	1	4	8	0
2020-03-16 16:38:41.408	Door	1	4	8	0
2020-03-16 16:38:41.465	Door	1	4	8	0
2020-03-16 16:38:42.506	Door	2	4	7	0
2020-03-16 16:38:42.506	Door	2	4	8	0
2020-03-16 16:38:42.590	Door	1	4	8	1
2020-03-16 16:38:43.070	Door	1	4	7	0
2020-03-16 16:38:44.496	Door	1	4	7	1
2020-03-16 16:38:47.782	Door	1	4	8	1
2020-03-16 16:38:50.611	Door	1	4	7	1
2020-03-16 16:38:50.611	Door	1	4	8	1
2020-03-16 16:38:52.894	Door	1	4	7	0
2020-03-16 16:38:52.898	Door	1	4	8	0
2020-03-16 16:39:41.977	Door	1	2	4	0
2020-03-16 16:39:43.403	Door	1	2	4	1
2020-03-16 16:39:47.517	Door	1	2	4	1
2020-03-16 16:39:49.141	Door	1	2	3	0
2020-03-16 16:39:49.141	Door	1	2	4	1
2020-03-16 16:39:51.388	Door	1	2	4	0
2020-03-16 16:39:59.625	Door	1	1	1	0
2020-03-16 16:39:59.642	Door	1	1	2	0
2020-03-16 16:40:51.041	Door	1	3	5	0
2020-03-16 16:40:51.057	Door	1	3	6	0
2020-03-16 16:41:09.704	Door	1	1	2	0
2020-03-16 16:41:09.947	Door	1	1	2	0
2020-03-16 16:41:11.135	Door	1	1	2	1
2020-03-16 16:41:16.134	Door	1	4	7	0
2020-03-16 16:41:16.134	Door	1	4	8	0
2020-03-16 16:41:25.458	Door	1	1	2	1
2020-03-16 16:41:27.687	Door	1	1	2	1
2020-03-16 16:41:27.722	Door	2	3	5	0
2020-03-16 16:41:28.010	Door	2	3	5	0
2020-03-16 16:41:29.150	Door	2	3	5	1
2020-03-16 16:41:29.933	Door	2	3	5	1
2020-03-16 16:41:29.933	Door	2	3	6	0
2020-03-16 16:41:31.040	Door	1	1	1	0
2020-03-16 16:41:32.248	Door	2	3	5	0
2020-03-16 16:41:32.464	Door	1	1	1	1
2020-03-16 16:41:32.778	Door	2	4	7	0
2020-03-16 16:41:32.794	Door	2	4	8	0
2020-03-16 16:41:39.680	Door	1	1	2	1
2020-03-16 16:41:48.298	Door	1	1	1	1
2020-03-16 16:41:59.522	Door	1	1	2	1
2020-03-16 16:42:03.512	Door	1	1	1	1
2020-03-16 16:42:10.440	Door	1	1	1	1
2020-03-16 16:42:10.440	Door	1	1	2	1
2020-03-16 16:42:12.751	Door	1	1	1	0
2020-03-16 16:42:12.755	Door	1	1	2	0
2020-03-16 16:42:13.662	Door	1	2	3	0
2020-03-16 16:42:13.678	Door	1	2	4	0
2020-03-16 16:42:48.488	Door	1	1	2	0
2020-03-16 16:42:48.599	Door	1	1	2	0
2020-03-16 16:42:49.922	Door	1	1	2	1
2020-03-16 16:42:54.211	Door	1	4	7	0
2020-03-16 16:42:55.636	Door	1	4	7	1
2020-03-16 16:42:57.914	Door	1	1	2	1
2020-03-16 16:42:58.801	Door	1	4	8	0
2020-03-16 16:42:58.963	Door	1	4	8	0
2020-03-16 16:43:00.227	Door	1	4	8	1
2020-03-16 16:43:02.206	Door	1	4	8	1
2020-03-16 16:43:05.541	Door	1	4	7	1
2020-03-16 16:43:05.541	Door	1	4	8	1
2020-03-16 16:43:07.827	Door	1	4	7	0
2020-03-16 16:43:07.831	Door	1	4	8	0
2020-03-16 16:43:07.934	Door	1	1	1	0
2020-03-16 16:43:08.842	Door	1	1	1	0
2020-03-16 16:43:09.359	Door	1	1	1	1
2020-03-16 16:43:13.202	Door	1	1	1	1
2020-03-16 16:43:24.385	Door	1	1	1	1
2020-03-16 16:43:24.385	Door	1	1	2	1
2020-03-16 16:43:26.656	Door	1	1	1	0
2020-03-16 16:43:26.660	Door	1	1	2	0
2020-03-16 16:43:31.553	Door	1	4	7	0
2020-03-16 16:43:31.570	Door	1	4	8	0
2020-03-16 16:46:41.795	Door	2	1	2	0
2020-03-16 16:46:41.929	Door	2	1	2	0
2020-03-16 16:46:43.226	Door	2	1	2	1
2020-03-16 16:47:03.552	Door	2	1	1	0
2020-03-16 16:47:04.240	Door	2	1	1	1
2020-03-16 16:47:05.787	Door	2	1	1	1
2020-03-16 16:47:05.787	Door	2	1	2	1
2020-03-16 16:47:08.023	Door	2	1	1	0
2020-03-16 16:47:08.027	Door	2	1	2	0
2020-03-16 16:47:35.242	Door	2	1	2	0
2020-03-16 16:47:36.665	Door	2	1	2	1
2020-03-16 16:47:38.643	Door	2	1	1	0
2020-03-16 16:47:39.511	Door	2	1	1	1
2020-03-16 16:47:52.601	Door	2	1	2	1
2020-03-16 16:47:56.203	Door	2	1	1	1
2020-03-16 16:47:58.824	Door	2	1	1	1
2020-03-16 16:48:09.253	Door	2	1	2	1
2020-03-16 16:48:15.061	Door	2	1	1	1
2020-03-16 16:48:15.062	Door	2	1	2	1
2020-03-16 16:48:17.364	Door	2	1	1	0
2020-03-16 16:48:17.368	Door	2	1	2	0
2020-03-16 16:48:19.231	Door	2	4	7	0
2020-03-16 16:48:19.248	Door	2	4	8	0
2020-03-16 16:49:33.089	Door	1	3	5	0
2020-03-16 16:49:33.106	Door	1	3	6	0
2020-03-16 16:49:44.152	Door	2	3	6	0
2020-03-16 16:49:44.536	Door	2	3	6	0
2020-03-16 16:49:44.692	Door	2	3	6	0
2020-03-16 16:49:45.580	Door	2	3	6	1
2020-03-16 16:49:50.211	Door	2	3	5	0
2020-03-16 16:49:51.306	Door	1	4	7	0
2020-03-16 16:49:51.638	Door	2	3	5	1
2020-03-16 16:49:52.160	Door	2	1	2	0
2020-03-16 16:49:52.732	Door	1	4	7	1
2020-03-16 16:49:53.582	Door	2	1	2	1
