DateTime	Temperature	Illumination	Cage
2020-03-14 15:35:44	23.6	54	1
2020-03-14 15:35:44	24.2	117	2
2020-03-14 15:36:44	23.6	54	1
2020-03-14 15:36:44	24.2	113	2
2020-03-14 15:37:44	23.6	52	1
2020-03-14 15:37:44	24.2	110	2
2020-03-14 15:38:44	23.6	54	1
2020-03-14 15:38:44	24.6	115	2
2020-03-14 15:39:44	23.6	60	1
2020-03-14 15:39:44	24.6	121	2
2020-03-14 15:40:44	23.6	60	1
2020-03-14 15:40:44	24.6	121	2
2020-03-14 15:41:44	23.6	60	1
2020-03-14 15:41:44	24.6	123	2
2020-03-14 15:42:44	23.6	62	1
2020-03-14 15:42:44	24.6	119	2
2020-03-14 15:43:44	23.6	62	1
2020-03-14 15:43:44	24.6	121	2
2020-03-14 15:44:44	23.6	60	1
2020-03-14 15:44:44	24.2	121	2
2020-03-14 15:45:44	23.6	62	1
2020-03-14 15:45:44	24.6	119	2
2020-03-14 15:46:44	23.6	62	1
2020-03-14 15:46:44	24.6	119	2
2020-03-14 15:47:44	23.6	60	1
2020-03-14 15:47:44	24.6	121	2
2020-03-14 15:48:44	23.6	62	1
2020-03-14 15:48:44	24.6	121	2
2020-03-14 15:49:44	23.6	60	1
2020-03-14 15:49:44	24.6	121	2
2020-03-14 15:50:44	23.6	62	1
2020-03-14 15:50:44	24.6	121	2
2020-03-14 15:51:44	23.6	60	1
2020-03-14 15:51:44	24.6	121	2
2020-03-14 15:52:44	23.6	60	1
2020-03-14 15:52:44	24.6	123	2
2020-03-14 15:53:44	23.6	62	1
2020-03-14 15:53:44	24.6	119	2
2020-03-14 15:54:44	23.6	62	1
2020-03-14 15:54:44	24.6	119	2
2020-03-14 15:55:44	23.6	60	1
2020-03-14 15:55:44	24.6	121	2
2020-03-14 15:56:44	23.6	60	1
2020-03-14 15:56:44	24.6	123	2
2020-03-14 15:57:44	23.6	60	1
2020-03-14 15:57:44	24.6	123	2
2020-03-14 15:58:44	23.6	62	1
2020-03-14 15:58:44	24.6	121	2
2020-03-14 15:59:44	23.6	60	1
2020-03-14 15:59:44	24.6	121	2
2020-03-14 16:00:44	23.6	62	1
2020-03-14 16:00:44	24.6	119	2
2020-03-14 16:01:44	23.6	60	1
2020-03-14 16:01:44	24.6	121	2
2020-03-14 16:02:44	23.6	62	1
2020-03-14 16:02:44	24.6	119	2
2020-03-14 16:03:44	23.6	62	1
2020-03-14 16:03:44	24.6	119	2
2020-03-14 16:04:44	23.6	60	1
2020-03-14 16:04:44	24.6	123	2
2020-03-14 16:05:44	23.6	62	1
2020-03-14 16:05:44	24.2	121	2
2020-03-14 16:06:44	23.6	60	1
2020-03-14 16:06:44	24.2	123	2
2020-03-14 16:07:44	23.6	60	1
2020-03-14 16:07:44	24.6	121	2
2020-03-14 16:08:45	23.6	60	1
2020-03-14 16:08:45	24.6	121	2
2020-03-14 16:09:45	23.6	62	1
2020-03-14 16:09:45	24.2	119	2
2020-03-14 16:10:45	23.6	60	1
2020-03-14 16:10:45	24.6	123	2
2020-03-14 16:11:45	23.6	60	1
2020-03-14 16:11:45	24.6	123	2
2020-03-14 16:12:45	23.6	60	1
2020-03-14 16:12:45	24.2	123	2
2020-03-14 16:13:45	23.6	60	1
2020-03-14 16:13:45	24.6	121	2
2020-03-14 16:14:45	23.6	62	1
2020-03-14 16:14:45	24.6	119	2
2020-03-14 16:15:45	23.6	62	1
2020-03-14 16:15:45	24.2	119	2
2020-03-14 16:16:45	23.6	62	1
2020-03-14 16:16:45	24.6	119	2
2020-03-14 16:17:45	23.6	60	1
2020-03-14 16:17:45	24.6	123	2
2020-03-14 16:18:45	23.6	60	1
2020-03-14 16:18:45	24.6	123	2
2020-03-14 16:19:45	23.6	60	1
2020-03-14 16:19:45	24.2	123	2
2020-03-14 16:20:45	23.6	60	1
2020-03-14 16:20:45	24.6	123	2
2020-03-14 16:21:45	23.6	60	1
2020-03-14 16:21:45	24.6	119	2
2020-03-14 16:22:45	23.6	60	1
2020-03-14 16:22:45	24.2	123	2
