VisitID	NosepokeOrder	Animal	Tag	Sex	Group	Cage	Corner	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	NosepokeDuration	LickStartTime
8	0	1045-0291	9.002E+14	Unknown	Default	2	2	4	Correct	0	0	0	0	0	0	14.03.2020	15:37:52.729	131.956	14.03.2020	15:37:52.843	132.07	0.114	
8	1	1045-0291	9.002E+14	Unknown	Default	2	2	4	Correct	0	0	0	0	0	0	14.03.2020	15:37:54.261	133.488	14.03.2020	15:37:55.001	134.228	0.74	
8	2	1045-0291	9.002E+14	Unknown	Default	2	2	4	Correct	0	0	0	0	0	0	14.03.2020	15:38:00.168	139.395	14.03.2020	15:38:00.947	140.174	0.779	
8	3	1045-0291	9.002E+14	Unknown	Default	2	2	3	Correct	0	0	0	0	0	0	14.03.2020	15:38:03.832	143.059	14.03.2020	15:38:03.975	143.202	0.143	
12	0	1045-0291	9.002E+14	Unknown	Default	2	1	2	Incorrect	1	0	0	0	0	0	14.03.2020	15:38:16.967	156.194	14.03.2020	15:38:17.478	156.705	0.511	
12	1	1045-0291	9.002E+14	Unknown	Default	2	1	1	Incorrect	1	0	0	0	0	0	14.03.2020	15:38:21.765	160.992	14.03.2020	15:38:21.794	161.021	0.029	
19	0	1045-0291	9.002E+14	Unknown	Default	2	3	5	Incorrect	1	0	0	0	0	0	14.03.2020	15:38:52.815	192.042	14.03.2020	15:38:52.999	192.226	0.184	
19	1	1045-0291	9.002E+14	Unknown	Default	2	3	6	Incorrect	1	0	0	0	0	0	14.03.2020	15:38:59.085	198.312	14.03.2020	15:39:00.049	199.276	0.964	
19	2	1045-0291	9.002E+14	Unknown	Default	2	3	5	Incorrect	1	0	0	0	0	0	14.03.2020	15:39:03.570	202.797	14.03.2020	15:39:03.712	202.939	0.142	
19	3	1045-0291	9.002E+14	Unknown	Default	2	3	5	Incorrect	1	0	0	0	0	0	14.03.2020	15:39:03.911	203.138	14.03.2020	15:39:03.953	203.18	0.042	
58	0	1045-0291	9.002E+14	Unknown	Default	2	4	8	Incorrect	1	0	0	0	0	0	14.03.2020	15:42:12.937	392.164	14.03.2020	15:42:13.377	392.604	0.44	
66	0	1045-0291	9.002E+14	Unknown	Default	2	3	6	Incorrect	1	0	0	0	0	0	14.03.2020	15:44:04.956	504.183	14.03.2020	15:44:05.327	504.554	0.371	
456	0	1045-0291	9.002E+14	Unknown	Default	2	3	6	Incorrect	1	0	0	0	0	0	14.03.2020	18:08:54.604	9193.831	14.03.2020	18:08:54.916	9194.143	0.312	
456	1	1045-0291	9.002E+14	Unknown	Default	2	3	6	Incorrect	1	0	0	0	0	0	14.03.2020	18:08:56.604	9195.831	14.03.2020	18:08:57.187	9196.414	0.583	
478	0	1045-0291	9.002E+14	Unknown	Default	2	4	7	Incorrect	1	0	0	0	0	0	14.03.2020	18:10:10.991	9270.218	14.03.2020	18:10:11.765	9270.992	0.774	
478	1	1045-0291	9.002E+14	Unknown	Default	2	4	8	Incorrect	1	0	0	0	0	0	14.03.2020	18:10:14.704	9273.931	14.03.2020	18:10:15.229	9274.456	0.525	
478	2	1045-0291	9.002E+14	Unknown	Default	2	4	8	Incorrect	1	0	0	0	0	0	14.03.2020	18:10:27.993	9287.22	14.03.2020	18:10:28.007	9287.234	0.014	
478	3	1045-0291	9.002E+14	Unknown	Default	2	4	8	Incorrect	1	0	0	0	0	0	14.03.2020	18:10:28.390	9287.617	14.03.2020	18:10:28.603	9287.83	0.213	
482	0	1045-0291	9.002E+14	Unknown	Default	2	3	5	Incorrect	1	0	0	0	0	0	14.03.2020	18:10:42.673	9301.9	14.03.2020	18:10:43.622	9302.849	0.949	
482	1	1045-0291	9.002E+14	Unknown	Default	2	3	5	Incorrect	1	0	0	0	0	0	14.03.2020	18:10:46.221	9305.448	14.03.2020	18:10:46.490	9305.717	0.269	
482	2	1045-0291	9.002E+14	Unknown	Default	2	3	6	Incorrect	1	0	0	0	0	0	14.03.2020	18:10:47.425	9306.652	14.03.2020	18:10:47.893	9307.12	0.468	
484	0	1045-0291	9.002E+14	Unknown	Default	2	2	4	Correct	0	0	0	0	0	0	14.03.2020	18:11:04.418	9323.645	14.03.2020	18:11:06.591	9325.818	2.173	
