DateTime	Temperature	Illumination	Cage
2020-03-15 15:38:33	24.2	58	1
2020-03-15 15:38:33	24.6	119	2
2020-03-15 15:39:33	24.2	60	1
2020-03-15 15:39:33	24.6	117	2
2020-03-15 15:40:33	24.2	60	1
2020-03-15 15:40:33	24.6	119	2
2020-03-15 15:41:33	24.2	58	1
2020-03-15 15:41:33	24.6	119	2
2020-03-15 15:42:33	24.2	56	1
2020-03-15 15:42:33	24.6	119	2
2020-03-15 15:43:33	24.2	51	1
2020-03-15 15:43:33	24.6	110	2
2020-03-15 15:44:33	24.2	62	1
2020-03-15 15:44:33	24.6	119	2
2020-03-15 15:45:33	24.2	60	1
2020-03-15 15:45:33	24.6	123	2
2020-03-15 15:46:33	24.2	60	1
2020-03-15 15:46:33	24.6	123	2
2020-03-15 15:47:33	24.2	60	1
2020-03-15 15:47:33	24.6	123	2
2020-03-15 15:48:33	24.2	60	1
2020-03-15 15:48:33	24.6	121	2
2020-03-15 15:49:33	24.2	62	1
2020-03-15 15:49:33	24.6	121	2
2020-03-15 15:50:33	24.2	60	1
2020-03-15 15:50:33	24.6	121	2
2020-03-15 15:51:33	24.2	60	1
2020-03-15 15:51:33	24.6	123	2
2020-03-15 15:52:33	24.2	62	1
2020-03-15 15:52:33	24.6	119	2
2020-03-15 15:53:33	24.2	60	1
2020-03-15 15:53:33	24.6	123	2
2020-03-15 15:54:33	24.2	62	1
2020-03-15 15:54:33	24.6	121	2
2020-03-15 15:55:33	23.6	62	1
2020-03-15 15:55:33	24.6	119	2
2020-03-15 15:56:33	23.6	60	1
2020-03-15 15:56:33	24.6	119	2
2020-03-15 15:57:33	23.6	62	1
2020-03-15 15:57:33	24.6	121	2
2020-03-15 15:58:33	23.6	60	1
2020-03-15 15:58:33	24.6	123	2
2020-03-15 15:59:33	23.6	60	1
2020-03-15 15:59:33	24.6	123	2
2020-03-15 16:00:33	24.2	62	1
2020-03-15 16:00:33	24.6	119	2
2020-03-15 16:01:33	24.2	60	1
