DateTime	Type	Cage	Corner	Side	State
2020-03-15 15:38:33.265	Air	1	1		0
2020-03-15 15:38:33.289	Air	1	2		0
2020-03-15 15:38:33.309	Air	1	3		0
2020-03-15 15:38:33.330	Air	1	4		0
2020-03-15 15:38:33.337	Air	2	4		0
2020-03-15 15:38:33.362	Door	1	1	1	1
2020-03-15 15:38:33.365	Door	2	1	1	1
2020-03-15 15:38:33.376	Led	1	1	1	0
2020-03-15 15:38:33.396	Door	1	1	2	1
2020-03-15 15:38:33.402	Door	2	1	2	1
2020-03-15 15:38:33.411	Led	1	1	2	0
2020-03-15 15:38:33.426	Door	2	2	3	1
2020-03-15 15:38:33.433	Door	1	2	3	1
2020-03-15 15:38:33.441	Led	2	2	3	0
2020-03-15 15:38:33.445	Led	1	2	3	0
2020-03-15 15:38:33.463	Door	2	2	4	1
2020-03-15 15:38:33.467	Door	1	2	4	1
2020-03-15 15:38:33.477	Led	2	2	4	0
2020-03-15 15:38:33.482	Led	1	2	4	0
2020-03-15 15:38:33.500	Door	2	3	5	1
2020-03-15 15:38:33.505	Door	1	3	5	1
2020-03-15 15:38:33.514	Led	2	3	5	0
2020-03-15 15:38:33.519	Led	1	3	5	0
2020-03-15 15:38:33.538	Door	2	3	6	1
2020-03-15 15:38:33.543	Door	1	3	6	1
2020-03-15 15:38:33.551	Led	2	3	6	0
2020-03-15 15:38:33.588	Led	1	3	6	0
2020-03-15 15:38:33.594	Door	2	4	7	1
2020-03-15 15:38:33.594	Door	1	4	7	1
2020-03-15 15:38:33.594	Led	2	4	7	0
2020-03-15 15:38:33.595	Led	1	4	7	0
2020-03-15 15:38:33.612	Door	2	4	8	1
2020-03-15 15:38:33.616	Door	1	4	8	1
2020-03-15 15:38:33.626	Led	2	4	8	0
2020-03-15 15:38:33.631	Led	1	4	8	0
2020-03-15 15:38:37.014	Door	1	1	1	1
2020-03-15 15:38:37.039	Door	1	1	2	1
2020-03-15 15:38:37.053	Door	1	2	3	1
2020-03-15 15:38:37.073	Door	1	2	4	1
2020-03-15 15:38:37.093	Door	1	3	5	1
2020-03-15 15:38:37.114	Door	1	3	6	1
2020-03-15 15:38:37.134	Door	1	4	7	1
2020-03-15 15:38:37.154	Door	1	4	8	1
2020-03-15 15:38:38.485	Door	1	2	3	0
2020-03-15 15:38:38.695	Door	1	3	5	0
2020-03-15 15:38:38.712	Door	1	3	6	0
2020-03-15 15:38:38.904	Door	1	4	7	0
2020-03-15 15:38:39.416	Door	1	2	4	0
2020-03-15 15:38:39.444	Door	1	1	1	0
2020-03-15 15:38:39.448	Door	1	1	2	0
2020-03-15 15:38:42.262	Door	2	1	1	1
2020-03-15 15:38:42.283	Door	2	1	2	1
2020-03-15 15:38:42.303	Door	2	2	3	1
2020-03-15 15:38:42.323	Door	2	2	4	1
2020-03-15 15:38:42.344	Door	2	3	5	1
2020-03-15 15:38:42.364	Door	2	3	6	1
2020-03-15 15:38:42.384	Door	2	4	7	1
2020-03-15 15:38:42.405	Door	2	4	8	1
2020-03-15 15:38:42.755	Door	1	4	8	0
2020-03-15 15:38:43.909	Door	2	4	7	0
2020-03-15 15:38:43.913	Door	2	4	8	0
2020-03-15 15:38:44.640	Door	2	1	1	0
2020-03-15 15:38:44.644	Door	2	1	2	0
2020-03-15 15:38:44.649	Door	2	2	3	0
2020-03-15 15:38:44.653	Door	2	2	4	0
2020-03-15 15:38:44.714	Door	2	3	5	0
2020-03-15 15:38:44.718	Door	2	3	6	0
2020-03-15 15:42:41.342	Door	1	2	3	0
2020-03-15 15:42:41.342	Door	1	2	4	0
2020-03-15 15:42:55.641	Door	1	1	1	0
2020-03-15 15:42:55.657	Door	1	1	2	0
2020-03-15 15:42:56.033	Door	1	4	7	0
2020-03-15 15:42:56.050	Door	1	4	8	0
2020-03-15 15:48:18.904	Door	1	1	1	0
2020-03-15 15:48:18.921	Door	1	1	2	0
2020-03-15 15:48:48.976	Door	1	3	5	0
2020-03-15 15:48:50.049	Door	1	3	5	1
2020-03-15 15:48:57.241	Door	1	3	5	1
2020-03-15 15:49:00.676	Door	1	3	5	1
2020-03-15 15:49:01.655	Door	1	3	5	1
2020-03-15 15:49:05.741	Door	1	3	6	0
2020-03-15 15:49:06.153	Door	1	3	6	0
2020-03-15 15:49:07.167	Door	1	3	6	1
2020-03-15 15:49:18.723	Door	1	3	6	1
2020-03-15 15:49:18.980	Door	2	2	3	0
2020-03-15 15:49:18.996	Door	2	2	4	0
2020-03-15 15:49:21.967	Door	1	3	6	1
2020-03-15 15:49:22.084	Door	1	3	6	1
2020-03-15 15:49:24.896	Door	1	3	5	1
2020-03-15 15:49:25.108	Door	1	3	5	1
2020-03-15 15:49:31.366	Door	1	3	5	1
2020-03-15 15:49:31.366	Door	1	3	6	1
2020-03-15 15:49:33.669	Door	1	3	5	0
2020-03-15 15:49:33.673	Door	1	3	6	0
2020-03-15 15:51:23.805	Door	1	1	1	0
2020-03-15 15:51:23.822	Door	1	1	2	0
2020-03-15 16:02:22.629	Door	1	1	1	0
2020-03-15 16:02:22.646	Door	1	1	2	0
2020-03-15 16:02:27.477	Door	1	2	3	0
2020-03-15 16:02:27.493	Door	1	2	4	0
2020-03-15 16:25:14.094	Door	1	1	1	0
2020-03-15 16:25:15.520	Door	1	1	1	1
