VisitID	NosepokeOrder	Animal	Tag	Sex	Group	Cage	Corner	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	NosepokeDuration	LickStartTime
78	0	1045-0291	9.002E+14	Unknown	Default	2	1	1	Incorrect	1	0	0	0	0	0	15.03.2020	17:10:49.014	5536.963	15.03.2020	17:10:49.570	5537.519	0.556	
82	0	1045-0291	9.002E+14	Unknown	Default	2	2	3	Incorrect	1	0	0	0	0	0	15.03.2020	17:11:46.825	5594.774	15.03.2020	17:11:47.535	5595.484	0.71	
82	1	1045-0291	9.002E+14	Unknown	Default	2	2	4	Incorrect	1	0	0	0	0	0	15.03.2020	17:11:48.227	5596.176	15.03.2020	17:11:48.697	5596.646	0.47	
137	0	1045-0291	9.002E+14	Unknown	Default	2	1	1	Incorrect	1	0	0	0	0	0	15.03.2020	17:22:56.106	6264.055	15.03.2020	17:22:56.402	6264.351	0.296	
150	0	1045-0291	9.002E+14	Unknown	Default	2	2	3	Incorrect	1	0	0	0	0	0	15.03.2020	17:24:30.781	6358.73	15.03.2020	17:24:31.194	6359.143	0.413	
150	1	1045-0291	9.002E+14	Unknown	Default	2	2	3	Incorrect	1	0	0	0	0	0	15.03.2020	17:24:39.896	6367.845	15.03.2020	17:24:39.952	6367.901	0.056	
252	0	1045-0291	9.002E+14	Unknown	Default	2	2	3	Incorrect	1	0	0	0	0	0	15.03.2020	17:39:33.291	7261.24	15.03.2020	17:39:33.445	7261.394	0.154	
252	1	1045-0291	9.002E+14	Unknown	Default	2	2	3	Incorrect	1	0	0	0	0	0	15.03.2020	17:39:33.622	7261.571	15.03.2020	17:39:34.284	7262.233	0.662	
252	2	1045-0291	9.002E+14	Unknown	Default	2	2	4	Incorrect	1	0	0	0	0	0	15.03.2020	17:39:35.049	7262.998	15.03.2020	17:39:35.617	7263.566	0.568	
252	3	1045-0291	9.002E+14	Unknown	Default	2	2	3	Incorrect	1	0	0	0	0	0	15.03.2020	17:39:38.544	7266.493	15.03.2020	17:39:39.196	7267.145	0.652	
256	0	1045-0291	9.002E+14	Unknown	Default	2	1	2	Incorrect	1	0	0	0	0	0	15.03.2020	17:39:56.286	7284.235	15.03.2020	17:39:56.658	7284.607	0.372	
256	1	1045-0291	9.002E+14	Unknown	Default	2	1	1	Incorrect	1	0	0	0	0	0	15.03.2020	17:39:58.008	7285.957	15.03.2020	17:39:58.675	7286.624	0.667	
256	2	1045-0291	9.002E+14	Unknown	Default	2	1	1	Incorrect	1	0	0	0	0	0	15.03.2020	17:39:58.846	7286.795	15.03.2020	17:39:59.498	7287.447	0.652	
256	3	1045-0291	9.002E+14	Unknown	Default	2	1	1	Incorrect	1	0	0	0	0	0	15.03.2020	17:40:02.080	7290.029	15.03.2020	17:40:02.136	7290.085	0.056	
256	4	1045-0291	9.002E+14	Unknown	Default	2	1	1	Incorrect	1	0	0	0	0	0	15.03.2020	17:40:02.183	7290.132	15.03.2020	17:40:02.234	7290.183	0.051	
260	0	1045-0291	9.002E+14	Unknown	Default	2	2	4	Incorrect	1	0	0	0	0	0	15.03.2020	17:40:06.606	7294.555	15.03.2020	17:40:06.905	7294.854	0.299	
266	0	1045-0291	9.002E+14	Unknown	Default	2	4	7	Correct	0	0	0	33	4.2692442	1.694	15.03.2020	17:40:22.089	7310.038	15.03.2020	17:40:28.704	7316.653	6.615	2020-03-15 17:40:23.015
