ID	Number_DAs	Success_DAs	Challenge	Group
0002-YL75	148	66	ELM1R	WT
0002-YL75	175	77	ELM2A	WT
0002-YL75	116	58	ELM2R	WT
0002-YL75	80	37	MRL	WT
0002-YL75	101	50	PL	WT
0002-YL75	104	57	RL	WT
0002-YL76	64	29	CCW1	WT
0002-YL76	95	30	CCW2	WT
0002-YL76	73	20	CW1	WT
0002-YL76	85	30	CW2	WT
0002-YL76	104	49	ELM1A	WT
0002-YL76	111	66	ELM1R	WT
0002-YL76	106	1	ELM2A	WT
0002-YL76	132	64	ELM2R	WT
0002-YL76	67	32	MRL	WT
0002-YL76	70	45	PL	WT
0002-YL76	69	31	RL	WT
