ID	Number_DAs	Success_DAs	Challenge	Group
0002-YK86	33	11	CW1	WT
0002-YK86	34	11	CW1	WT
0002-YK86	35	11	CW1	WT
0002-YK86	36	11	CW1	WT
0002-YK86	37	12	CW1	WT
0002-YK86	38	12	CW1	WT
0002-YK86	39	12	CW1	WT
0002-YK86	40	13	CW1	WT
0002-YK86	41	13	CW1	WT
0002-YK86	42	13	CW1	WT
0002-YK86	43	13	CW1	WT
0002-YK86	44	14	CW1	WT
0002-YK86	45	14	CW1	WT
0002-YK86	46	14	CW1	WT
0002-YK86	47	15	CW1	WT
0002-YK86	48	15	CW1	WT
0002-YK86	49	16	CW1	WT
0002-YK86	50	16	CW1	WT
0002-YK86	51	16	CW1	WT
0002-YK86	52	16	CW1	WT
0002-YK86	53	17	CW1	WT
0002-YK86	54	17	CW1	WT
0002-YK86	55	18	CW1	WT
0002-YK86	56	18	CW1	WT
0002-YK86	57	18	CW1	WT
0002-YK86	58	18	CW1	WT
0002-YK86	59	19	CW1	WT
0002-YK86	60	19	CW1	WT
0002-YK86	61	19	CW1	WT
0002-YK86	62	19	CW1	WT
0002-YK86	63	19	CW1	WT
0002-YK86	64	20	CW1	WT
0002-YK86	65	21	CW1	WT
0002-YK86	66	21	CW1	WT
0002-YK86	67	21	CW1	WT
0002-YK86	68	21	CW1	WT
0002-YK86	69	21	CW1	WT
0002-YK86	70	22	CW1	WT
0002-YK86	71	23	CW1	WT
0002-YK86	72	24	CW1	WT
0002-YK86	73	24	CW1	WT
0002-YK86	74	24	CW1	WT
0002-YK86	75	25	CW1	WT
0002-YK86	76	25	CW1	WT
0002-YK86	77	25	CW1	WT
0002-YK86	78	26	CW1	WT
0002-YK86	79	26	CW1	WT
0002-YK86	80	27	CW1	WT
0002-YK86	81	27	CW1	WT
0002-YK86	82	28	CW1	WT
0002-YK86	83	28	CW1	WT
0002-YK86	84	28	CW1	WT
0002-YK86	85	29	CW1	WT
0002-YK86	86	30	CW1	WT
0002-YK86	87	31	CW1	WT
0002-YK86	88	32	CW1	WT
0002-YK86	89	33	CW1	WT
0002-YK86	90	33	CW1	WT
0002-YK86	91	33	CW1	WT
0002-YK86	92	33	CW1	WT
0002-YK86	93	34	CW1	WT
0002-YK86	94	34	CW1	WT
0002-YK86	95	34	CW1	WT
0002-YK86	1	0	CW2	WT
0002-YK86	2	1	CW2	WT
0002-YK86	3	1	CW2	WT
0002-YK86	4	1	CW2	WT
0002-YK86	5	1	CW2	WT
0002-YK86	6	1	CW2	WT
0002-YK86	7	2	CW2	WT
0002-YK86	8	2	CW2	WT
0002-YK86	9	2	CW2	WT
0002-YK86	10	2	CW2	WT
0002-YK86	11	2	CW2	WT
0002-YK86	12	3	CW2	WT
0002-YK86	13	3	CW2	WT
0002-YK86	14	3	CW2	WT
0002-YK86	15	4	CW2	WT
0002-YK86	16	4	CW2	WT
0002-YK86	17	5	CW2	WT
0002-YK86	18	5	CW2	WT
0002-YK86	19	6	CW2	WT
0002-YK86	20	7	CW2	WT
0002-YK86	21	7	CW2	WT
0002-YK86	22	7	CW2	WT
0002-YK86	23	7	CW2	WT
0002-YK86	24	7	CW2	WT
0002-YK86	25	7	CW2	WT
0002-YK86	26	8	CW2	WT
0002-YK86	27	9	CW2	WT
0002-YK86	28	9	CW2	WT
0002-YK86	29	9	CW2	WT
0002-YK86	30	9	CW2	WT
0002-YK86	31	9	CW2	WT
0002-YK86	32	10	CW2	WT
