Challenge	Group	Number_DAs	Success_DAs	Percentage_successful_DAs
CCW1	WT	1142	410	35.9
CCW2	WT	1016	273	26.87
CW1	WT	1348	472	35.01
CW2	WT	1121	235	20.96
ELM1A	WT	1545	359	23.24
ELM1R	WT	1328	605	45.56
ELM2A	WT	1584	521	32.89
ELM2R	WT	1408	491	34.87
MRL	WT	1038	368	35.45
PL	WT	1068	305	28.56
RL	WT	1072	342	31.9
