Group	Challenge	Number_DAs	Success_DAs	Number_Individuals	Percentage_Success	Remaining
WT	RL	58	10	14	71.4285714285714	0.933333333333333
WT	RL	59	8	14	57.1428571428571	0.933333333333333
WT	RL	60	7	14	50	0.933333333333333
WT	RL	61	10	14	71.4285714285714	0.933333333333333
WT	RL	62	9	14	64.2857142857143	0.933333333333333
WT	RL	63	10	14	71.4285714285714	0.933333333333333
WT	RL	64	9	14	64.2857142857143	0.933333333333333
WT	RL	65	9	14	64.2857142857143	0.933333333333333
WT	RL	66	11	14	78.5714285714286	0.933333333333333
WT	RL	67	7	14	50	0.933333333333333
WT	RL	68	7	14	50	0.933333333333333
WT	RL	69	8	13	61.5384615384615	0.866666666666667
WT	RL	70	8	12	66.6666666666667	0.8
WT	RL	71	3	12	25	0.8
WT	RL	72	8	12	66.6666666666667	0.8
WT	RL	73	10	12	83.3333333333333	0.8
WT	RL	74	7	12	58.3333333333333	0.8
WT	RL	75	7	11	63.6363636363636	0.733333333333333
WT	RL	76	5	11	45.4545454545455	0.733333333333333
WT	RL	77	8	9	88.8888888888889	0.6
WT	RL	78	5	9	55.5555555555556	0.6
WT	RL	79	4	9	44.4444444444444	0.6
WT	RL	80	4	9	44.4444444444444	0.6
WT	RL	81	7	9	77.7777777777778	0.6
WT	RL	82	6	8	75	0.533333333333333
WT	RL	83	5	8	62.5	0.533333333333333
WT	RL	84	4	8	50	0.533333333333333
WT	RL	85	3	8	37.5	0.533333333333333
WT	RL	86	5	8	62.5	0.533333333333333
WT	RL	87	5	8	62.5	0.533333333333333
WT	RL	88	4	7	57.1428571428571	0.466666666666667
WT	RL	89	3	7	42.8571428571429	0.466666666666667
WT	RL	90	3	6	50	0.4
WT	RL	91	2	6	33.3333333333333	0.4
WT	RL	92	3	6	50	0.4
WT	RL	93	4	6	66.6666666666667	0.4
WT	RL	94	2	5	40	0.333333333333333
WT	RL	95	3	5	60	0.333333333333333
WT	RL	96	2	5	40	0.333333333333333
WT	RL	97	2	5	40	0.333333333333333
WT	RL	98	3	5	60	0.333333333333333
WT	RL	99	3	5	60	0.333333333333333
WT	RL	100	4	5	80	0.333333333333333
WT	RL	101	1	3	33.3333333333333	0.2
WT	RL	102	1	2	50	0.133333333333333
WT	RL	103	0	2	0	0.133333333333333
WT	RL	104	1	2	50	0.133333333333333
WT	RL	105	0	1	0	0.0666666666666667
WT	RL	106	0	1	0	0.0666666666666667
WT	RL	107	1	1	100	0.0666666666666667
WT	RL	108	1	1	100	0.0666666666666667
WT	RL	109	0	1	0	0.0666666666666667
WT	RL	110	0	1	0	0.0666666666666667
WT	RL	111	0	1	0	0.0666666666666667
WT	RL	112	1	1	100	0.0666666666666667
WT	RL	113	0	1	0	0.0666666666666667
WT	RL	114	0	1	0	0.0666666666666667
WT	RL	115	0	1	0	0.0666666666666667
WT	RL	116	1	1	100	0.0666666666666667
WT	RL	117	1	1	100	0.0666666666666667
