Animal	Tag	Sex	Weight	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
1045-1108	900200000471269	Unknown	0	Group1A	IntelliCage 1	2022-10-04 14:23:45.471	2022-10-09 12:12:23.175	1	724	5453.58099999999	1564	2281.644	7480	1229.7107195	749.945000617765	78.3	567	86.4	1352	0.0	0	0.0	0
1045-1126	900200000472620	Unknown	0	Group1A	IntelliCage 1	2022-10-04 14:23:56.349	2022-10-09 12:44:42.214	1	730	5825.037	1663	2106.266	7287	1070.1399399	568.162001570687	79.0	577	89.1	1482	0.0	0	0.0	0
1045-1136	900200000471478	Unknown	0	Group1A	IntelliCage 1	2022-10-04 14:24:06.756	2022-10-09 14:26:51.568	3	600	4629.53	1646	1986.896	8117	1005.6039717	388.02599847503	72.5	435	78.1	1286	0.0	0	0.0	0
1045-1141	900200000470680	Unknown	0	Group1A	IntelliCage 1	2022-10-04 14:23:42.415	2022-10-09 13:56:56.896	3	547	5048.807	1418	1960.817	8130	1020.4606837	362.523999366909	74.2	406	88.4	1253	0.0	0	0.0	0
dummy 1	900200000196653	Unknown	0	Group1A	IntelliCage 1 dummy animal				0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
1045-1142	900200000469486	Unknown	0	Group1B	IntelliCage 1	2022-10-04 14:24:16.575	2022-10-09 14:27:23.606	1	734	6815.396	2510	2626.096	10033	1222.0123255	467.285000932403	79.4	583	90.8	2279	0.0	0	0.0	0
1045-1144	900200000471127	Unknown	0	Group1B	IntelliCage 1	2022-10-04 14:24:14.379	2022-10-09 14:22:42.582	1	532	4548.43	1347	1779.502	8675	1070.1619643	395.063001071103	73.1	389	85.5	1152	0.0	0	0.0	0
1045-1145	900200000402822	Unknown	0	Group1B	IntelliCage 1	2022-10-04 14:23:54.036	2022-10-09 14:31:39.885	1	794	8109.91199999999	2442	2601.303	10597	1337.1732569	483.737999250181	71.2	565	85.7	2094	0.0	0	0.0	0
1045-1149	900200000469983	Unknown	0	Group1B	IntelliCage 1	2022-10-04 14:25:04.492	2022-10-09 13:48:45.639	1	589	5798.379	1634	2043.344	7334	962.0889195	344.650999349542	78.9	465	86.8	1419	0.0	0	0.0	0
1045-1150	900200000469796	Unknown	0	Group1C	IntelliCage 1	2022-10-04 14:31:17.865	2022-10-09 14:56:01.941	1	637	7554.911	2311	2268.651	8390	1043.0174799	399.947998540476	76.1	485	85.3	1971	0.0	0	0.0	0
1045-1151	900200000402024	Unknown	0	Group1C	IntelliCage 1	2022-10-04 14:24:46.900	2022-10-09 14:36:28.200	1	625	6830.18400000001	1884	2253.333	8584	1054.3843164	419.940999049693	76.2	476	87.2	1643	0.0	0	0.0	0
1045-1165	900200000472308	Unknown	0	Group1C	IntelliCage 1	2022-10-04 14:23:41.366	2022-10-09 15:02:43.288	4	887	5948.893	1783	1975.24	7973	972.417902599999	380.569999451749	75.5	670	84.5	1507	0.0	0	0.0	0
1045-1283	900200000472239	Unknown	0	Group1C	IntelliCage 1	2022-10-04 14:32:08.316	2022-10-09 10:04:30.020	3	911	6185.625	1942	2681.245	11819	1375.5978461	575.072999805212	75.7	690	86.4	1677	0.0	0	0.0	0
1045-1284	900200000471771	Unknown	0	Group1D	IntelliCage 1	2022-10-04 14:23:47.822	2022-10-09 14:55:48.443	1	732	7210.134	1882	2474.41	9888	1166.9402115	432.88399900496	72.0	527	81.9	1541	0.0	0	0.0	0
1045-1285	900200000473213	Unknown	0	Group1D	IntelliCage 1	2022-10-04 14:23:35.041	2022-10-09 13:03:58.707	1	655	4833.865	1295	2125.78	8855	1062.4179106	387.72800055705	74.5	488	83.4	1080	0.0	0	0.0	0
1045-1286	900200000473251	Unknown	0	Group1D	IntelliCage 1				0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
1045-1287	900200000469608	Unknown	0	Group1D	IntelliCage 1	2022-10-04 14:23:36.385	2022-10-09 12:23:30.409	1	606	5727.332	1546	2047.537	9272	1125.4566638	424.517001248896	76.1	461	86.7	1340	0.0	0	0.0	0
1045-1109	900200000471102	Unknown	0	Group2A	IntelliCage 2	2022-10-04 14:23:43.801	2022-10-09 14:35:23.537	4	763	5939.589	2517	2481.066	3915	489.2702932	194.048999537714	65.4	499	61.9	1558	0.0	0	0.0	0
1045-1110	900200000471894	Unknown	0	Group2A	IntelliCage 2	2022-10-04 14:23:49.263	2022-10-09 14:22:50.023	1	618	5701.862	1354	2131.245	6207	782.4196492	293.642000135966	74.1	458	79.6	1078	0.0	0	0.0	0
1045-1115	900200000278040	Unknown	0	Group2A	IntelliCage 2	2022-10-04 14:27:20.030	2022-10-09 14:31:02.100	1	753	6245.23800000001	1662	2291.341	7172	891.173753000001	347.256000493653	72.1	543	74.8	1243	0.0	0	0.0	0
1045-1116	900200000471039	Unknown	0	Group2A	IntelliCage 2	2022-10-04 14:24:11.818	2022-10-09 10:47:35.319	4	472	4296.308	1219	1827.401	5194	631.9773331	244.185000151396	68.2	322	73.1	891	0.0	0	0.0	0
dummy 2	900200000194856	Unknown	0	Group2A	IntelliCage 2 dummy animal				0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
1045-1117	900200000472610	Unknown	0	Group2B	IntelliCage 2	2022-10-04 14:23:57.896	2022-10-09 11:48:47.354	1	489	4548.319	1125	1929.267	6681	820.9793365	300.036000804976	68.1	333	78.3	881	0.0	0	0.0	0
1045-1118	900200000471017	Unknown	0	Group2B	IntelliCage 2	2022-10-04 14:23:34.377	2022-10-09 14:45:36.245	2	561	5711.274	1310	2115.91	6293	825.4998866	321.224999967963	72.5	407	79.2	1038	0.0	0	0.0	0
1045-1125	900200000471581	Unknown	0	Group2B	IntelliCage 2	2022-10-04 14:26:42.384	2022-10-09 14:34:37.162	4	659	5125.19099999999	1374	2239.791	8617	1088.2720516	395.114999357611	73.6	485	81.5	1120	0.0	0	0.0	0
1045-1143	900200000403226	Unknown	0	Group2B	IntelliCage 2	2022-10-04 14:25:30.373	2022-10-09 08:27:31.803	3	579	4773.369	1188	2101.359	6852	835.1112592	284.767000004649	70.5	408	79.4	943	0.0	0	0.0	0
1045-1166	900200000402641	Unknown	0	Group2C	IntelliCage 2	2022-10-04 14:24:20.386	2022-10-09 13:47:11.966	2	996	8128.406	2298	2348.317	8279	976.9452632	370.277000311762	75.4	751	82.9	1905	0.0	0	0.0	0
