DateTime	Category	Type	Cage	Corner	Side	Notes
2022-10-04 14:23:34.557	Info	Application				Session is started
2022-10-04 17:00:51.614	Warning	Presence	1	4		Presence signal without antenna registration.
2022-10-05 04:52:22.182	Warning	Antenna	1	3		Not empty tag for antenna deregistration
2022-10-05 05:12:47.116	Warning	Presence	2	3		Presence signal without antenna registration.
2022-10-05 08:05:38.685	Warning	Presence	2	4		Presence signal without antenna registration.
2022-10-05 10:25:05.085	Warning	Presence	2	2		Presence signal without antenna registration.
2022-10-05 10:26:19.861	Warning	Presence	2	2		Presence signal without antenna registration.
2022-10-05 17:29:43.588	Warning	Presence	2	4		Presence signal without antenna registration.
2022-10-05 18:12:12.138	Warning	Presence	1	1		Presence signal without antenna registration.
2022-10-05 18:28:38.541	Warning	Presence	1	4		Presence signal without antenna registration.
2022-10-05 20:56:17.646	Warning	Presence	2	2		Presence signal without antenna registration.
2022-10-05 22:41:24.356	Warning	Presence	2	4		Presence signal without antenna registration.
2022-10-06 04:23:43.974	Warning	Presence	2	2		Presence signal without antenna registration.
2022-10-06 16:33:53.557	Warning	Presence	2	2		Presence signal without antenna registration.
2022-10-06 16:54:53.713	Warning	Presence	2	4		Presence signal without antenna registration.
2022-10-06 19:28:58.551	Warning	Presence	1	4		Presence signal without antenna registration.
2022-10-06 20:22:11.145	Warning	Presence	2	4		Presence signal without antenna registration.
2022-10-07 05:00:35.988	Warning	Presence	2	4		Presence signal without antenna registration.
2022-10-07 07:24:11.115	Warning	Presence	1	2		Presence signal without antenna registration.
2022-10-07 16:41:30.976	Warning	Antenna	2	2		Not empty tag for antenna deregistration
2022-10-08 01:31:44.768	Warning	Presence	2	3		Presence signal without antenna registration.
2022-10-08 01:54:12.928	Warning	Presence	1	1		Presence signal without antenna registration.
2022-10-08 02:55:27.998	Warning	Presence	2	3		Presence signal without antenna registration.
2022-10-08 03:53:01.180	Warning	Presence	2	3		Presence signal without antenna registration.
2022-10-08 18:25:47.946	Warning	Presence	1	2		Presence signal without antenna registration.
2022-10-08 18:51:34.730	Warning	Presence	2	1		Presence signal without antenna registration.
2022-10-08 22:24:48.427	Warning	Presence	1	1		Presence signal without antenna registration.
2022-10-08 23:23:43.092	Warning	Presence	2	3		Presence signal without antenna registration.
2022-10-09 00:14:36.637	Warning	Antenna	1	4		Not empty tag for antenna deregistration
2022-10-09 01:24:37.091	Warning	Presence	2	2		Presence signal without antenna registration.
2022-10-09 02:24:45.643	Warning	Presence	2	4		Presence signal without antenna registration.
2022-10-09 06:00:06.892	Warning	Presence	2	2		Presence signal without antenna registration.
2022-10-09 06:07:15.706	Warning	Presence	2	4		Presence signal without antenna registration.
2022-10-09 14:25:08.408	Warning	Presence	2	3		Presence signal without antenna registration.
2022-10-09 15:16:49.678	Info	Application				Session is stopped
