DateTime	Temperature	Illumination	Cage
2020-03-16 17:01:46	23.6	58	1
2020-03-16 17:01:46	24.6	121	2
2020-03-16 17:02:46	23.6	60	1
2020-03-16 17:02:46	24.6	121	2
2020-03-16 17:03:46	23.6	60	1
2020-03-16 17:03:46	24.6	121	2
2020-03-16 17:04:46	23.6	60	1
2020-03-16 17:04:46	24.6	119	2
2020-03-16 17:05:46	23.6	60	1
2020-03-16 17:05:46	24.6	119	2
2020-03-16 17:06:46	23.6	60	1
2020-03-16 17:06:46	24.6	121	2
2020-03-16 17:07:46	23.6	58	1
2020-03-16 17:07:46	24.6	121	2
2020-03-16 17:08:46	23.6	58	1
2020-03-16 17:08:46	24.6	121	2
2020-03-16 17:09:46	23.6	60	1
2020-03-16 17:09:46	24.6	119	2
2020-03-16 17:10:46	23.6	60	1
2020-03-16 17:10:46	24.6	121	2
2020-03-16 17:11:46	23.6	60	1
2020-03-16 17:11:46	24.6	121	2
2020-03-16 17:12:46	23.6	60	1
2020-03-16 17:12:46	24.6	119	2
2020-03-16 17:13:46	23.6	60	1
2020-03-16 17:13:46	24.6	121	2
2020-03-16 17:14:46	23.6	60	1
2020-03-16 17:14:46	24.6	119	2
2020-03-16 17:15:46	23.6	60	1
2020-03-16 17:15:46	24.6	119	2
2020-03-16 17:16:46	23.6	58	1
2020-03-16 17:16:46	24.6	121	2
2020-03-16 17:17:46	24.2	60	1
2020-03-16 17:17:46	24.6	119	2
2020-03-16 17:18:46	24.2	58	1
2020-03-16 17:18:46	24.6	121	2
2020-03-16 17:19:46	23.6	58	1
2020-03-16 17:19:46	24.6	121	2
2020-03-16 17:20:46	24.2	60	1
2020-03-16 17:20:46	24.6	119	2
2020-03-16 17:21:46	24.2	60	1
2020-03-16 17:21:46	24.6	121	2
2020-03-16 17:22:46	24.2	58	1
2020-03-16 17:22:46	24.6	121	2
2020-03-16 17:23:46	23.6	60	1
2020-03-16 17:23:46	24.6	121	2
2020-03-16 17:24:46	24.2	60	1
2020-03-16 17:24:46	24.6	119	2
2020-03-16 17:25:46	23.6	60	1
2020-03-16 17:25:46	24.6	119	2
2020-03-16 17:26:46	24.2	58	1
2020-03-16 17:26:46	24.6	121	2
2020-03-16 17:27:46	24.2	60	1
2020-03-16 17:27:46	24.6	121	2
2020-03-16 17:28:46	24.2	60	1
2020-03-16 17:28:46	24.6	119	2
2020-03-16 17:29:46	24.2	60	1
2020-03-16 17:29:46	24.6	119	2
2020-03-16 17:30:46	24.2	60	1
2020-03-16 17:30:46	24.6	121	2
2020-03-16 17:31:46	24.2	58	1
2020-03-16 17:31:46	24.6	123	2
2020-03-16 17:32:46	24.2	60	1
2020-03-16 17:32:46	24.6	121	2
2020-03-16 17:33:46	24.2	60	1
2020-03-16 17:33:46	24.6	121	2
2020-03-16 17:34:46	24.2	60	1
2020-03-16 17:34:46	24.6	121	2
2020-03-16 17:35:46	24.2	60	1
2020-03-16 17:35:46	24.6	119	2
2020-03-16 17:36:46	24.2	60	1
2020-03-16 17:36:46	24.6	121	2
2020-03-16 17:37:46	24.2	60	1
2020-03-16 17:37:46	24.6	119	2
2020-03-16 17:38:46	24.2	60	1
2020-03-16 17:38:46	24.6	121	2
2020-03-16 17:39:46	24.2	60	1
2020-03-16 17:39:46	24.6	119	2
2020-03-16 17:40:46	24.2	60	1
2020-03-16 17:40:46	24.6	121	2
2020-03-16 17:41:46	24.2	60	1
2020-03-16 17:41:46	24.6	121	2
2020-03-16 17:42:46	24.2	60	1
2020-03-16 17:42:46	24.6	119	2
2020-03-16 17:43:46	24.2	60	1
2020-03-16 17:43:46	24.6	121	2
2020-03-16 17:44:46	24.2	60	1
2020-03-16 17:44:46	24.6	121	2
2020-03-16 17:45:46	24.2	60	1
2020-03-16 17:45:46	24.6	119	2
2020-03-16 17:46:46	24.2	60	1
2020-03-16 17:46:46	25	121	2
2020-03-16 17:47:46	24.2	60	1
2020-03-16 17:47:46	24.6	119	2
2020-03-16 17:48:46	24.2	60	1
2020-03-16 17:48:46	24.6	119	2
2020-03-16 17:49:46	24.2	60	1
2020-03-16 17:49:46	24.6	123	2
2020-03-16 17:50:46	24.2	60	1
2020-03-16 17:50:46	24.6	119	2
2020-03-16 17:51:46	24.2	60	1
2020-03-16 17:51:46	24.6	121	2
2020-03-16 17:52:46	24.2	60	1
2020-03-16 17:52:46	24.6	121	2
2020-03-16 17:53:46	24.2	62	1
2020-03-16 17:53:46	24.6	119	2
2020-03-16 17:54:46	24.2	60	1
2020-03-16 17:54:46	24.6	119	2
2020-03-16 17:55:46	24.2	62	1
2020-03-16 17:55:46	24.6	119	2
2020-03-16 17:56:46	24.2	60	1
2020-03-16 17:56:46	24.6	121	2
2020-03-16 17:57:46	24.2	60	1
2020-03-16 17:57:46	24.6	119	2
2020-03-16 17:58:46	24.2	60	1
2020-03-16 17:58:46	24.6	119	2
2020-03-16 17:59:46	24.2	60	1
2020-03-16 17:59:46	24.6	121	2
2020-03-16 18:00:46	24.2	60	1
2020-03-16 18:00:46	24.6	119	2
2020-03-16 18:01:46	24.2	62	1
2020-03-16 18:01:46	24.6	121	2
2020-03-16 18:02:46	24.2	0	1
2020-03-16 18:02:46	24.6	0	2
2020-03-16 18:03:46	24.2	0	1
2020-03-16 18:03:46	24.6	0	2
2020-03-16 18:04:46	24.2	0	1
2020-03-16 18:04:46	24.6	0	2
2020-03-16 18:05:46	24.2	0	1
2020-03-16 18:05:46	24.6	0	2
2020-03-16 18:06:46	24.2	0	1
2020-03-16 18:06:46	24.6	0	2
2020-03-16 18:07:46	24.2	0	1
2020-03-16 18:07:47	24.6	0	2
2020-03-16 18:08:47	24.2	0	1
2020-03-16 18:08:47	24.6	0	2
2020-03-16 18:09:47	24.2	0	1
2020-03-16 18:09:47	24.6	0	2
2020-03-16 18:10:47	24.2	0	1
2020-03-16 18:10:47	24.6	0	2
2020-03-16 18:11:47	24.2	0	1
2020-03-16 18:11:47	24.6	0	2
2020-03-16 18:12:47	24.2	0	1
2020-03-16 18:12:47	24.6	0	2
2020-03-16 18:13:47	24.2	0	1
2020-03-16 18:13:47	24.6	0	2
2020-03-16 18:14:47	24.2	0	1
2020-03-16 18:14:47	24.6	0	2
2020-03-16 18:15:47	24.2	0	1
2020-03-16 18:15:47	24.6	0	2
2020-03-16 18:16:47	24.2	0	1
2020-03-16 18:16:47	24.6	0	2
2020-03-16 18:17:47	24.2	0	1
2020-03-16 18:17:47	24.6	0	2
2020-03-16 18:18:47	24.2	0	1
2020-03-16 18:18:47	24.6	0	2
2020-03-16 18:19:47	24.2	0	1
2020-03-16 18:19:47	24.6	0	2
2020-03-16 18:20:47	24.2	0	1
2020-03-16 18:20:47	24.6	0	2
2020-03-16 18:21:47	24.2	0	1
2020-03-16 18:21:47	24.6	0	2
2020-03-16 18:22:47	24.2	0	1
2020-03-16 18:22:47	24.6	0	2
2020-03-16 18:23:47	24.2	0	1
2020-03-16 18:23:47	24.6	0	2
2020-03-16 18:24:47	24.2	0	1
2020-03-16 18:24:47	24.6	0	2
2020-03-16 18:25:47	24.2	0	1
2020-03-16 18:25:47	24.6	0	2
2020-03-16 18:26:47	24.2	0	1
2020-03-16 18:26:47	24.6	0	2
2020-03-16 18:27:47	24.2	0	1
2020-03-16 18:27:47	24.6	0	2
2020-03-16 18:28:47	24.2	0	1
2020-03-16 18:28:47	25	0	2
2020-03-16 18:29:47	24.2	0	1
2020-03-16 18:29:47	24.6	0	2
2020-03-16 18:30:47	24.2	0	1
2020-03-16 18:30:47	24.6	0	2
2020-03-16 18:31:47	24.2	0	1
2020-03-16 18:31:47	24.6	0	2
2020-03-16 18:32:47	24.2	0	1
2020-03-16 18:32:47	24.6	0	2
2020-03-16 18:33:47	24.2	0	1
2020-03-16 18:33:47	24.6	0	2
2020-03-16 18:34:47	24.2	0	1
2020-03-16 18:34:47	24.6	0	2
2020-03-16 18:35:47	24.2	0	1
2020-03-16 18:35:47	24.6	0	2
2020-03-16 18:36:47	24.2	0	1
2020-03-16 18:36:47	24.6	0	2
2020-03-16 18:37:47	24.2	0	1
2020-03-16 18:37:47	24.6	0	2
2020-03-16 18:38:47	24.2	0	1
2020-03-16 18:38:47	24.6	0	2
2020-03-16 18:39:47	24.2	0	1
2020-03-16 18:39:47	25	0	2
2020-03-16 18:40:47	24.2	0	1
2020-03-16 18:40:47	25	0	2
2020-03-16 18:41:47	25	0	2
2020-03-16 18:41:47	24.2	0	1
2020-03-16 18:42:47	24.2	0	1
2020-03-16 18:42:47	25	0	2
2020-03-16 18:43:47	24.2	0	1
2020-03-16 18:43:47	25	0	2
2020-03-16 18:44:47	24.2	0	1
2020-03-16 18:44:47	25	0	2
2020-03-16 18:45:47	24.2	0	1
2020-03-16 18:45:47	25	0	2
2020-03-16 18:46:47	24.2	0	1
2020-03-16 18:46:47	25	0	2
2020-03-16 18:47:47	24.2	0	1
2020-03-16 18:47:47	25	0	2
2020-03-16 18:48:47	24.2	0	1
2020-03-16 18:48:47	25	0	2
2020-03-16 18:49:47	24.2	0	1
2020-03-16 18:49:47	25	0	2
2020-03-16 18:50:47	24.2	0	1
2020-03-16 18:50:47	25	0	2
